sampleID	strain	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10	rep11	rep12	rep13	rep14	rep15	rep16	rep17	rep18
egg	Rockefeller	0.21	0.21	0.21	0.21	0.21													
L1	Rockefeller	0.34	0.34	0.39	0.35	0.36													
L2	Rockefeller	0.37	0.39	0.39	0.42	0.39													
L3	Rockefeller	0.39	0.43	0.43	0.43	NA													
L4	Rockefeller	0.18	0.18	0.17	0.18	NA													
pupae	Rockefeller	0.07	0.07	0.07	0.07	0.07													
male 	Rockefeller	0.09	0.09	0.09	0.10	0.10													
female	Rockefeller	0.09	0.09	0.10	0.09	0.08													
egg	New Orleans	0.31	0.40	0.60	0.10	0.15	0.11	0.12	0.16	0.15	0.16	0.15	0.20	0.15	1.51	0.62	1.36	0.97	
L1	New Orleans	0.17	0.51	0.38	0.38	0.34	0.35	0.38	0.26	0.29	0.29	0.31							
L2	New Orleans	0.27	0.21	0.32	0.34	0.36	0.35	0.26	0.27	0.30	0.38	0.18	0.15	0.16	0.17				
L3	New Orleans	0.27	0.16	0.94	0.57	0.31	0.29	0.31	0.31	0.32	0.21	0.18	0.19	0.17					
L4	New Orleans	0.08	0.07	0.08	0.09	0.10	0.31	0.34	0.36	0.29	0.33	0.31	0.31	0.34	0.30	0.19	0.19	0.30	0.17
pupae	New Orleans	0.09	0.08	0.08	0.09	0.13	0.14	0.12	0.13	0.13	0.13	0.13	0.13	0.21	0.12	0.12	0.11	0.10	0.11
male 	New Orleans	0.10	0.09	0.09	0.10	0.07	0.08	0.08	0.09	0.09	0.11	0.10	0.11	0.13	0.14	0.12			
female	New Orleans	0.08	0.09	0.09	0.08	0.57	0.36	0.70	0.51	0.14	0.13	0.13	0.13	0.14	0.14	0.13	0.13		
