group	value	dup1 	dup2 	dup3	average	
PC	0	0.044	0.045		0.0445	
PC	2	0.2	0.221		0.2105	
PC	4	0.576	0.661		0.6185	
PC	6	0.894	1.063		0.9785	
PC	8	1.29	1.345		1.3175	
PC	10	1.589	1.611		1.6	
NC	0	0.047	0.045		0.046	
NC_Bead	0	0.081	0.08		0.0805	
L2_3	1	0.246	0.157	0.127	0.176666667	
L2_3	2	0.267	0.197	0.206	0.223333333	
L4	1	0.289	0.301	0.209	0.266333333	
L4	2	0.349	0.281	0.367	0.332333333	
Pupae	1	0.222	0.218	0.367	0.269	
Pupae	2	0.189	0.15	0.292	0.210333333	*duplicate are biologcical replicates
