group	pool	OD	NC	PC0	PC2	PC4	PC6	PC8	PC10
L2_3	1	0.127	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L2_3	1	0.157	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L2_3	1	0.246	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L2_3	2	0.206	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L2_3	2	0.197	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L2_3	2	0.267	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L4	1	0.209	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L4	1	0.301	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L4	1	0.289	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L4	2	0.367	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L4	2	0.281	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
L4	2	0.349	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
Pupae	1	0.367	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
Pupae	1	0.218	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
Pupae	1	0.222	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
Pupae	2	0.292	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
Pupae	2	0.15	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
Pupae	2	0.189	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
adult_male	1	0.188	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_male	1	0.924	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_male	1	0.41	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_male	1	0.236	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_male	2	0.35	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_male	2	0.35	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_female	1	0.395	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_female	1	0.251	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_female	1	0.251	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_female	1	0.232	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_female	2	0.393	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
adult_female	2	0.476	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415
d1_larval_water		0.058	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
d1_larval_water		0.06	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
d7_larval_water		0.069	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
d7_larval_water		0.074	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
d7_larval_water		0.218	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
d7_larval_water		0.188	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6
adult_female_BF	1	0.428	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215
adult_female_BF	1	0.532	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215
adult_female_BF	1	0.487	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215
adult_female_BF	1	0.716	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215
adult_female_BF	1	0.461	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215
adult_female_BF	1	0.517	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215
