group	OD	NC	PC0	PC2	PC4	PC6	PC8	PC10	OD_Norm	line
L1	0.24	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.108	LVP
L1	0.127	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	-0.005	LVP
L1	0.214	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.082	LVP
L1	0.349	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.217	LVP
L1	0.096	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	-0.036	LVP
L1	0.124	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	-0.008	LVP
L1	0.159	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.027	LVP
L1	0.188	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.056	LVP
L1	0.121	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	-0.011	LVP
L1	0.163	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.031	LVP
L1	0.157	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.025	Thai1
L1	0.194	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.062	Thai1
L1	0.121	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	-0.011	Thai1
L1	0.184	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.052	Thai1
L1	0.131	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	-0.001	Thai1
L1	0.121	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	-0.011	Thai1
L1	0.286	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.154	Thai1
L1	0.199	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.067	Thai1
L1	0.245	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.113	Thai1
L1	0.145	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.013	Thai1
L1	0.137	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.005	Thai2
L1	0.108	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	-0.024	Thai2
L1	0.189	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	0.057	Thai2
L1	0.087	0.132	0.0505	0.213	0.42	0.5795	0.7085	0.8635	-0.045	Thai2
