group	pool	OD	NC	PC0	PC2	PC4	PC6	PC8	PC10	OD_Norm	OD_Ind
L2_3	1	0.127	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.0465	0.0465
L2_3	1	0.157	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.0765	0.0765
L2_3	1	0.246	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1655	0.1655
L2_3	2	0.206	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1255	0.06275
L2_3	2	0.197	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1165	0.05825
L2_3	2	0.267	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1865	0.09325
L4	1	0.209	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1285	0.1285
L4	1	0.301	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.2205	0.2205
L4	1	0.289	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.2085	0.2085
L4	2	0.367	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.2865	0.14325
L4	2	0.281	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.2005	0.10025
L4	2	0.349	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.2685	0.13425
Pupae	1	0.367	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.2865	0.2865
Pupae	1	0.218	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1375	0.1375
Pupae	1	0.222	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1415	0.1415
Pupae	2	0.292	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.2115	0.10575
Pupae	2	0.15	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.0695	0.03475
Pupae	2	0.189	0.0805	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1085	0.05425
adult_male	1	0.188	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	-0.0495	-0.0495
adult_male	1	0.924	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	0.6865	0.6865
adult_male	1	0.41	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	0.1725	0.1725
adult_male	1	0.236	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	-0.0015	-0.0015
adult_male	2	0.35	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	0.1125	0.05625
adult_male	2	0.35	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	0.1125	0.05625
adult_female	1	0.395	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	0.1575	0.1575
adult_female	1	0.251	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	0.0135	0.0135
adult_female	1	0.251	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	0.0135	0.0135
adult_female	1	0.232	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	-0.0055	-0.0055
adult_female	2	0.393	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	0.1555	0.07775
adult_female	2	0.476	0.2375	0.0465	0.278	0.613	0.8345	0.9415	1.2415	0.2385	0.11925
d1_larval_water	1	0.058	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.0115	0.0115
d1_larval_water	1	0.06	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.0135	0.0135
d7_larval_water	1	0.069	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.0225	0.0225
d7_larval_water	1	0.074	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.0275	0.0275
d7_larval_water	1	0.218	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1715	0.1715
d7_larval_water	1	0.188	0.0465	0.0445	0.2105	0.6185	0.9785	1.3175	1.6	0.1415	0.1415
adult_female_BF	1	0.428	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215	0.229	0.229
adult_female_BF	1	0.532	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215	0.333	0.333
adult_female_BF	1	0.487	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215	0.288	0.288
adult_female_BF	1	0.716	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215	0.517	0.517
adult_female_BF	1	0.461	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215	0.262	0.262
adult_female_BF	1	0.517	0.199	0.044	0.327	0.59	1.0925	1.3205	1.3215	0.318	0.318
