internal_id,gtdb_genus,gtdb_family,gtdb_species
USHLN06,Klebsiella,Enterobacteriaceae,Klebsiella variicola
USHLN08,Serratia,Enterobacteriaceae,Serratia nevei
USHLN005,Cedecea,Enterobacteriaceae,Cedecea sp000277545
USHLN16,Klebsiella,Enterobacteriaceae,Klebsiella michiganensis
USHLN010,Rouxiella,Enterobacteriaceae,Rouxiella badensis
USHLN014,Pseudoxanthomonas_A,Xanthomonadaceae,Pseudoxanthomonas_A sp004284195
USHLN018,Priestia,Bacillaceae_H,Priestia megaterium
USHLN015,Pseudomonas_F,Pseudomonadaceae,Pseudomonas_F sp003234055
USHLN009,Chryseobacterium,Weeksellaceae,Chryseobacterium contaminans
USMM117,Bacillus_AB,DSM-18226,Bacillus_AB infantis
USMM118,Bacillus_AB,DSM-18226,Bacillus_AB infantis
USMM102,Brevundimonas,Caulobacteraceae,Brevundimonas aurantiaca
USMM103,Brevundimonas,Caulobacteraceae,Brevundimonas aurantiaca
USMM104,Brevundimonas,Caulobacteraceae,Brevundimonas aurantiaca
USMM105,Brevundimonas,Caulobacteraceae,Brevundimonas aurantiaca
USMM106,NA,NA,NA
USMM107,NA,NA,NA
USMM108,Paenibacillus,Paenibacillaceae,Paenibacillus illinoisensis
USMM101,Pantoea,Enterobacteriaceae,Pantoea anthophila
USMM111,Brevundimonas,Caulobacteraceae,Brevundimonas nasdae_A
USMM114,Staphylococcus,Staphylococcaceae,Staphylococcus hominis
USMM116,Staphylococcus,Staphylococcaceae,Staphylococcus hominis
USMM086,Bacillus_A,Bacillaceae_G,Bacillus_A thuringiensis
USMM087,Bacillus_A,Bacillaceae_G,Bacillus_A thuringiensis
USMM088,Bacillus_A,Bacillaceae_G,Bacillus_A thuringiensis_S
USMM091,Bacillus_A,Bacillaceae_G,Bacillus_A toyonensis
USMM074,Bacillus_A,Bacillaceae_G,Bacillus_A cereus_AG
USMM075,Bacillus_A,Bacillaceae_G,Bacillus_A cereus_AG
USMM093,Bacillus_A,Bacillaceae_G,Bacillus_A toyonensis
USMM094,Elizabethkingia,Weeksellaceae,Elizabethkingia anophelis
USMM095,Elizabethkingia,Weeksellaceae,Elizabethkingia anophelis
USMM096,Elizabethkingia,Weeksellaceae,Elizabethkingia anophelis
USMM097,Elizabethkingia,Weeksellaceae,Elizabethkingia anophelis
USMM078,Pantoea,Enterobacteriaceae,Pantoea cancerogena_A
USMM079,Pantoea,Enterobacteriaceae,Pantoea cancerogena_A
USMM099,Paenibacillus,Paenibacillaceae,Paenibacillus illinoisensis
USMM080,Pantoea,Enterobacteriaceae,Pantoea anthophila
USMM081,Pantoea,Enterobacteriaceae,Pantoea anthophila
USMM082,Priestia,Bacillaceae_H,Priestia megaterium_A
USMM083,Priestia,Bacillaceae_H,Priestia megaterium_A
USMM084,Serratia,Enterobacteriaceae,Serratia nevei
USMM085,Serratia,Enterobacteriaceae,Serratia nevei
AA004,NA,NA,NA
AA010,Acinetobacter,Moraxellaceae,Acinetobacter oleivorans
AS011,Leclercia,Enterobacteriaceae,NA
AS013,Acinetobacter,Moraxellaceae,Acinetobacter tandoii
