sampleID,contignumber,regionnumber,category,contig_edge,core_location,cutoff,detection_rule,product,protocluster_number,kind,internal_id,sequencing_run,seq_sumission_date,data_return_date,plate_location,internal_date_received,external_id,source_lab,isolate_name,genus_predicted,species_predicted,isolation_date,lat_lon,isolate_source,comments,antibiotics_pr_partial_resistance,confirmed_media_for_growth,source,location_country,life_stage,sex,feeding_status,tissue,mosquito_species,mosquito_strain,lab_field,identity_via_wgs_kraken2,percent_28,species,percent_30,x31,qc_pass,completeness,contamination,genome_size_bp,number_contigs,mean_contig_length_bp,longest_contig_bp,gc,number_predicted_genes,n50,total_reads,avg_coverage,gtdb_domain,gtdb_parent,gtbd_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,fastani_reference,fastani_ani,fastani_af,==...
AA010,contig00001,region001,NRPS,False,[51684:55683](+),5000.0,(AMP-binding and PP-binding and TIGR02353),NAPAA,1.0,single,AA010,UW-1,9/29/21,11/01/2021,B1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane site 6,,"KanS, StrepS, AmpR, TetR, ChlorR",Dane site 6,water,"Dane Co, WI",,,,,,,field,Acinetobacter,96.88,oleivorans,45.61,,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,True
AA010,contig00001,region002,other,False,[701157:709575],20000.0,IucA_IucC,siderophore,1.0,single,AA010,UW-1,9/29/21,11/01/2021,B1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane site 6,,"KanS, StrepS, AmpR, TetR, ChlorR",Dane site 6,water,"Dane Co, WI",,,,,,,field,Acinetobacter,96.88,oleivorans,45.61,,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,True
AA010,contig00001,region003,RiPP,False,[1198050:1200241],20000.0,"(cds(PF04055 and (TIGR04085 or SPASM)) and (TIGR02111 or TIGR03966) and minimum(1, [Bottromycin_Methyltransferase_RRE, Cyanobactin_D_RRE, Cytolysin_C_RRE, Goadsporin_CD_RRE, Heterocycloanthracin_C_RRE, Lanthipeptide_LanB_RRE, Lasso_Fused_RRE, Mycofactocin_RRE, NHLP_CD_RRE, Other_Sactipeptide_rSAM_RRE, Pantocin_Microcin_RRE, Plantazolicin_C_RRE, PlpY_RRE, PqqD_RRE, Proteusin_Epimerase_RRE, Proteusin_Methyltransferase_RRE, Quinohemoprotein_rSAM_RRE, Ranthipeptide_rSAM_RRE, Stand_Alone_Lasso_RRE, Streptide_RRE, Subtilosin_rSAM_RRE, Thiaglutamate_B_RRE, Thiaglutamate_G_RRE, Thiaglutamate_I_RRE, Thiopeptide_F_RRE, Thuricin_rSAM_RRE, Thurincin_rSAM_RRE, Trifolitoxin_RRE]))",redox-cofactor,1.0,neighbouring,AA010,UW-1,9/29/21,11/01/2021,B1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane site 6,,"KanS, StrepS, AmpR, TetR, ChlorR",Dane site 6,water,"Dane Co, WI",,,,,,,field,Acinetobacter,96.88,oleivorans,45.61,,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,True
AA010,contig00003,region001,other,False,[125722:134802],10000.0,(HMGL-like and AMP-binding),betalactone,1.0,single,AA010,UW-1,9/29/21,11/01/2021,B1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane site 6,,"KanS, StrepS, AmpR, TetR, ChlorR",Dane site 6,water,"Dane Co, WI",,,,,,,field,Acinetobacter,96.88,oleivorans,45.61,,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,True
AA010,contig00004,region001,other,False,[351433:355036],20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AA010,UW-1,9/29/21,11/01/2021,B1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane site 6,,"KanS, StrepS, AmpR, TetR, ChlorR",Dane site 6,water,"Dane Co, WI",,,,,,,field,Acinetobacter,96.88,oleivorans,45.61,,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,True
AA010,contig00006,region001,other,False,[129261:130491](-),20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AA010,UW-1,9/29/21,11/01/2021,B1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane site 6,,"KanS, StrepS, AmpR, TetR, ChlorR",Dane site 6,water,"Dane Co, WI",,,,,,,field,Acinetobacter,96.88,oleivorans,45.61,,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,True
AA010,contig00007,region001,NRPS,False,[124028:127988](+),20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,neighbouring,AA010,UW-1,9/29/21,11/01/2021,B1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane site 6,,"KanS, StrepS, AmpR, TetR, ChlorR",Dane site 6,water,"Dane Co, WI",,,,,,,field,Acinetobacter,96.88,oleivorans,45.61,,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,True
AS011,contig00001,region001,RiPP,False,[1927476:1933779],20000.0,((YcaO or TIGR03882) and ((thio_amide and (PF06968 or PF04055 or PF07366)) or Lant_dehydr_C or Lant_dehydr_N or PF07366 or PF06968 or PF04055) or thiostrepton),thiopeptide,1.0,single,AS011,UW-1,9/29/21,11/01/2021,C1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, StrepS, AmpS, TetPR, ChlorR",Dane 86,water,"Dane Co, WI",,,,,,,field,Leclercia,76.18,unclassified,22.85,,Pass,99.69,0.44,4737009.0,56.0,84589.0,2641988.0,56.9,4339.0,2641988.0,5037213.0,157.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,,,,,True
AS011,contig00001,region002,terpene,False,[2013073:2016643],20000.0,(Terpene_synth or Terpene_synth_C or phytoene_synt or Lycopene_cycl or terpene_cyclase or NapT7 or fung_ggpps or fung_ggpps2 or trichodiene_synth or TRI5),terpene,1.0,single,AS011,UW-1,9/29/21,11/01/2021,C1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, StrepS, AmpS, TetPR, ChlorR",Dane 86,water,"Dane Co, WI",,,,,,,field,Leclercia,76.18,unclassified,22.85,,Pass,99.69,0.44,4737009.0,56.0,84589.0,2641988.0,56.9,4339.0,2641988.0,5037213.0,157.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,,,,,True
AS011,contig00001,region003,NRPS,False,[2328400:2332261](-),20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,single,AS011,UW-1,9/29/21,11/01/2021,C1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, StrepS, AmpS, TetPR, ChlorR",Dane 86,water,"Dane Co, WI",,,,,,,field,Leclercia,76.18,unclassified,22.85,,Pass,99.69,0.44,4737009.0,56.0,84589.0,2641988.0,56.9,4339.0,2641988.0,5037213.0,157.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,,,,,True
AS011,contig00007,region001,other,False,[60433:64024],20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AS011,UW-1,9/29/21,11/01/2021,C1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, StrepS, AmpS, TetPR, ChlorR",Dane 86,water,"Dane Co, WI",,,,,,,field,Leclercia,76.18,unclassified,22.85,,Pass,99.69,0.44,4737009.0,56.0,84589.0,2641988.0,56.9,4339.0,2641988.0,5037213.0,157.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,,,,,True
AS013,contig00001,region001,other,False,[404884:408460],20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AS013,UW-1,9/29/21,11/01/2021,D1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane86,,"KanS, TetS, StrepPR, AmpR, ChlorR",Dane86,water,"Dane Co, WI",,,,,,,field,Acinetobacter,93.63,unclassified,86.07,,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,True
AS013,contig00002,region001,other,False,[36093:45313],10000.0,(HMGL-like and AMP-binding),betalactone,1.0,single,AS013,UW-1,9/29/21,11/01/2021,D1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane86,,"KanS, TetS, StrepPR, AmpR, ChlorR",Dane86,water,"Dane Co, WI",,,,,,,field,Acinetobacter,93.63,unclassified,86.07,,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,True
AS013,contig00004,region001,other,False,[136727:149337],10000.0,(HMGL-like and AMP-binding),betalactone,1.0,single,AS013,UW-1,9/29/21,11/01/2021,D1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane86,,"KanS, TetS, StrepPR, AmpR, ChlorR",Dane86,water,"Dane Co, WI",,,,,,,field,Acinetobacter,93.63,unclassified,86.07,,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,True
AS013,contig00015,region001,other,True,[5359:6589](+),20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AS013,UW-1,9/29/21,11/01/2021,D1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane86,,"KanS, TetS, StrepPR, AmpR, ChlorR",Dane86,water,"Dane Co, WI",,,,,,,field,Acinetobacter,93.63,unclassified,86.07,,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,True
AS013,contig00016,region001,other,False,[29581:38027],20000.0,IucA_IucC,siderophore,1.0,single,AS013,UW-1,9/29/21,11/01/2021,D1,,,Coon,,Acineotbacter,,,"Dane Co, WI",Dane86,,"KanS, TetS, StrepPR, AmpR, ChlorR",Dane86,water,"Dane Co, WI",,,,,,,field,Acinetobacter,93.63,unclassified,86.07,,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,True
