Taxon,Cluster
HN093_contigs_fa,1
MMO-131_contigs_fa,1
MMO-163_contigs_fa,1
HN071_contigs_fa,1
MMO-130_contigs_fa,1
HN099_contigs_fa,1
HN067_contigs_fa,1
VD14_contigs_fa,2
MMO-143_contigs_fa,2
M51_contigs_fa,2
MMO-128_contigs_fa,2
USMM066_contigs_fa,3
USMM068_contigs_fa,3
HN121_contigs_fa,3
HN122_contigs_fa,3
HN126_contigs_fa,4
HN068_contigs_fa,4
HN123_contigs_fa,4
HN127_contigs_fa,4
HN059_contigs_fa,5
HN041_contigs_fa,5
USHLN143_contigs_fa,6
HN132_contigs_fa,7
HN105_contigs_fa,8
HN047_contigs_fa,9
HN020_contigs_fa,10
AS167_contigs_fa,11
AS116_contigs_fa,12
AS096_contigs_fa,13
AS013_contigs_fa,14
