Taxon,Cluster_name
MMO-163_contigs_fa,ipat
MMO-131_contigs_fa,ipat
HN071_contigs_fa,ipat
HN067_contigs_fa,ipat
HN093_contigs_fa,ipat
HN099_contigs_fa,ipat
MMO-130_contigs_fa,ipat
USMM066_contigs_fa,nufao
HN122_contigs_fa,nufao
HN121_contigs_fa,nufao
USMM068_contigs_fa,nufao
HN127_contigs_fa,osowla
HN068_contigs_fa,osowla
HN126_contigs_fa,osowla
HN123_contigs_fa,osowla
MMO-128_contigs_fa,danfufwoz
MMO-143_contigs_fa,danfufwoz
M51_contigs_fa,uu
VD14_contigs_fa,uu
USHLN143_contigs_fa,fuzmo
HN132_contigs_fa,wiube
HN105_contigs_fa,lepiz
HN059_contigs_fa,mazu
HN047_contigs_fa,zefha
HN041_contigs_fa,keriwi
HN020_contigs_fa,fuu
AS167_contigs_fa,waa
AS116_contigs_fa,pihoful
AS096_contigs_fa,fazitiz
AS013_contigs_fa,wuruvan
