target_strain_right,competing_strain_left,area,mean_grey_value_colony ,perimeter,circularity,AR,round ,solidity,grey_value_blank ,colony_grey_value,replicate,condition,plate_dehydrated
HN034,MMO163,0.008,40544.552,0.319,0.994,1.038,0.963,1,17811,22733.552,1,FeCl3,
HN034,MMO163,0.008,38645.58,0.319,0.994,1.038,0.963,1,18717,19928.58,2,FeCl3,
HN034,MMO163,0.008,32802.584,0.319,0.994,1.038,0.963,1,21294,11508.584,1,2'2-Bipyrydyl,
HN034,MMO163,0.008,36551.675,0.319,0.994,1.038,0.963,1,22454.191,14097.484,2,2'2-Bipyrydyl,
HN034,M51,0.005,42067.78,0.251,0.996,1.089,0.918,1,18919.395,23148.385,1,FeCl3,
HN034,M51,0.005,30492.486,0.251,0.996,1.089,0.918,1,11716.57,18775.916,2,FeCl3,
HN034,M51,0.011,35058.796,0.372,0.998,1.146,0.872,0.998,23200,11858.796,1,2'2-Bipyrydyl,
HN034,M51,0.011,29779.255,0.372,0.998,1.146,0.872,0.998,18912,10867.255,2,2'2-Bipyrydyl,
HN034,USMMO68,0.004,37639.885,0.22,1,1,1,1.012,20536.089,17103.796,1,FeCl3,
HN034,USMMO68,0.004,38953.043,0.22,1,1,1,1.012,26021.401,12931.642,2,FeCl3,
HN034,USMMO68,0.002,23839.846,0.168,1,1,1,1.02,21137.966,2701.88,1,2'2-Bipyrydyl,
HN034,USMMO68,0.002,23280.274,0.168,1,1,1,1.02,23389.529,0,2,2'2-Bipyrydyl,
HN034,HN127,0.01,43350.518,0.346,1,1,1,1.009,26708.703,16641.815,1,FeCl3,
HN034,HN127,0.01,43853.252,0.346,1,1,1,1.009,19342.858,24510.394,2,FeCl3,
HN034,HN127,0.01,47412.882,0.346,1,1,1,1.009,26062.789,21350.093,1,2'2-Bipyrydyl,
HN034,HN127,0.01,42055.825,0.346,1,1,1,1.009,24984.97,17070.855,2,2'2-Bipyrydyl,
HN034,MMO128,0.006,34983.978,0.278,1,1.05,0.952,1.004,14122.789,20861.189,1,FeCl3,
HN034,MMO128,0.006,33710.959,0.278,1,1.05,0.952,1.004,13818.848,19892.111,2,FeCl3,
HN034,MMO128,0.008,30644.268,0.309,1,1.034,0.967,0.994,22882.948,7761.32,1,2'2-Bipyrydyl,
HN034,MMO128,0.008,33145.01,0.309,1,1.034,0.967,0.994,23233.43,9911.58,2,2'2-Bipyrydyl,
HN034,USHLN143,0.004,34346.692,0.236,1,1.132,0.883,1.015,14553,19793.692,1,FeCl3,
HN034,USHLN143,0.004,36197.077,0.236,1,1.132,0.883,1.015,14537.077,21660,2,FeCl3,
HN034,USHLN143,0.013,38974.093,0.403,0.998,1.022,0.978,0.988,27563.093,11411,1,2'2-Bipyrydyl,
HN034,USHLN143,0.013,34155.842,0.403,0.998,1.022,0.978,0.988,23785.273,10370.569,2,2'2-Bipyrydyl,
HN034,HN132,0.008,38297.466,0.319,0.994,1.038,0.963,1,20143.121,18154.345,1,FeCl3,
HN034,HN132,0.008,42335.975,0.319,0.994,1.038,0.963,1,22194.109,20141.866,2,FeCl3,
HN034,HN132,0.008,33203.789,0.319,0.994,1.038,0.963,1,19926.163,13277.626,1,2'2-Bipyrydyl,
HN034,HN132,0.005,41202.356,0.246,1,1.058,0.946,1,21967.505,19234.851,2,2'2-Bipyrydyl,
HN034,HN105,0.005,45470.318,0.257,1,1.035,0.966,1.013,19139.498,26330.82,1,FeCl3,
HN034,HN105,0.003,30092.863,0.199,1,1,1,1.073,9205.956,20886.907,2,FeCl3,
HN034,HN105,0.008,41090.653,0.319,0.994,1.038,0.963,1,22602.114,18488.539,1,2'2-Bipyrydyl,
HN034,HN105,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2'2-Bipyrydyl,
HN034,HN059,0.006,40006.215,0.272,1,1,1,1.015,21533.728,18472.487,1,FeCl3,
HN034,HN059,0.006,43014.343,0.272,1,1,1,1.015,22369.883,20644.46,2,FeCl3,
HN034,HN059,0.007,31544.444,0.304,1,1,1,0.977,19864.989,11679.455,1,2'2-Bipyrydyl,
HN034,HN059,0.005,39522.697,0.246,1,1.058,0.946,1,25137.186,14385.511,2,2'2-Bipyrydyl,
HN034,HN047,0.005,49880.853,0.246,1,1.058,0.946,1,24546.133,25334.72,1,FeCl3,
HN034,HN047,0.004,41007.514,0.225,1,1.059,0.944,1.017,18201.148,22806.366,2,FeCl3,
HN034,HN047,0.004,51369.046,0.225,1,1.059,0.944,1.017,27237.923,24131.123,1,2'2-Bipyrydyl,
HN034,HN047,0.004,28162.317,0.225,1,1.059,0.944,1.017,11014.546,17147.771,2,2'2-Bipyrydyl,
HN034,HN121,0.003,29413.151,0.183,0.989,1.049,0.953,1,16103.529,13309.622,1,FeCl3,
HN034,HN121,0.003,30537.773,0.183,0.989,1.049,0.953,1,19473.702,11064.071,2,FeCl3,
HN034,HN121,0.004,17843.113,0.236,1,1.038,0.963,1,13070.759,4772.354,1,2'2-Bipyrydyl,
