,HN034,MM0163,M51,USMM068,HN127,MM0128,USHLN143,HN132,HN105,HN059,HN047,HN121,HN020,AS167,AS116,AS096,AS013,AA010
HN034,,1,1,5,1,1,1,1,2,2,2,2,4,2,4,2,3,3
MM0163,5,,4,5,3,4,5,5,4,4,4,5,4,4,5,5,5,5
M51,5,5,,5,1,2,1,5,1,4,4,5,2,NA,NA,3,5,4
USMM068,NA,NA,NA,,2,3,1,1,1,1,1,3,4,5,4,3,2,2
HN127 ,5,5,NA,NA,NA,NA,NA,NA,4,5,4,5,4,5,NA,3,5,5
MM0128,3,1,2,5,5,5,5,5,1,1,5,1,1,3,NA,NA,NA,NA
USHLN143,NA,NA,NA,NA,NA,NA,,4,4,5,4,4,3,5,4,4,4,4
HN132,4,5,5,5,2,5,5,,2,4,1,1,4,3,3,2,3,4
HN105,1,4,2,5,1,1,1,1,,1,1,1,2,5,1,1,1,2
HN059,1,1,1,5,1,1,1,1,1,,1,1,1,1,3,1,1,2
HN047,5,5,5,5,3,5,4,3,4,4,,4,3,5,3,3,3,4
HN121,3,3,4,5,3,1,5,5,3,3,2,,2,5,5,3,2,2
HN020,4,5,5,5,3,5,1,1,1,4,1,1,,5,2,1,1,2
AS167,1,4,3,5,3,2,1,1,1,2,1,2,1,,NA,NA,NA,NA
AS116,NA,NA,NA,NA,NA,4,2,3,3,5,5,NA,NA,NA,NA,NA,NA,NA
AS096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS013,NA,NA,NA,NA,4,5,1,1,4,5,1,5,2,5,5,4,,5
AA010,4,4,1,5,1,3,1,1,3,2,1,2,1,1,2,1,1,
