plateID	sampleID	condition	lifestage	dilution	volume_dispensed_ml	volume_homogenate_ul	colonies	diet	picture_file	concentration	colonies_sequenced	a.soli_bands	a.johnsonii_bands	percentage_a_soli	percentage_a_johnsonii	conclusive?	sample_dilution_factor	individual_tube_dilution_factor	total_series_dilution_factor	plating_dilution_factor	final_dilution_factor	cfu_ml	a_soli_cfu	a_johnsonii_cfu	filename_gel
20.1	M_20_2_L	mono	L4	1	0.1	400	24	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	2400	NA	2400	MonoCulture_B
20.1_0	NA	mono	L4	3	0.1	400	232	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	2320000	NA	2320000	MonoCulture_D
20.2	M_20_3_L	mono	L4	3	0.1	400	17	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	170000	NA	170000	MonoCulture_B
20.3	M_20_4_L	mono	L4	2	0.1	400	120	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	120000	NA	120000	MonoCulture_B
20.4	M_20_5_L	mono	L4	2	0.1	400	58	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	58000	NA	58000	MonoCulture_B
20.7	M_20_6_L	mono	L4	2	0.1	400	62	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	62000	45000	NA	MonoCulture_C
20.7	NA	mono	L4	3	0.1	400	438	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	4380000	NA	4380000	MonoCulture_D
20.8	NA	mono	L4	3	0.1	400	486	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	4860000	NA	4860000	MonoCulture_D
20.9	NA	mono	L4	2	0.1	400	555	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	555000	NA	555000	MonoCulture_D
6+2_L1	C_26_1_L	co	L4	3	0.1	400	30	tetramin 10%	Y	10^7	10	10	6	60	40	Y	1	0.1	0.001	0.1	1e-04	3e+05	180000	120000	CoCulture_A
6+2_L2	C_26_2_L	co	L4	2	0.1	400	128	tetramin 10%	Y	10^7	15	9	6	60	40	Y	1	0.1	0.01	0.1	0.001	128000	76800	51200	CoCulture_A
6+2_L3	C_26_3_L	co	L4	3	0.1	400	214	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.001	0.1	1e-04	2140000	2140000	0	CoCulture_B
6+2_L4	C_26_4_L	co	L4	3	0.1	400	160	tetramin 10%	Y	10^7	10	8	2	80	20	Y	1	0.1	0.001	0.1	1e-04	1600000	1280000	320000	CoCulture_B
62.1	C_26_13_L	co	L4	3	0.1	400	49	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.001	0.1	1e-04	490000	490000	0	CoCulture_H
62.11	C_26_11_L	co	L4	3	0.1	400	124	tetramin 10%	Y	10^7	15	14	1	93.33333333	6.666666667	N	1	0.1	0.001	0.1	1e-04	1240000	1157333.333	82666.66667	CoCulture_I
62.12	C_26_10_L	co	L4	2	0.1	400	83	tetramin 10%	Y	10^7	16	15	1	93.75	6.25	Y	1	0.1	0.01	0.1	0.001	83000	77812.5	5187.5	CoCulture_ J
