ReactionID,no_colonies,polymerase_ul,primer1_ul,primer2_ul,water_ul,total_vol_ul,date,type,samples,
,21,210,21,21,168,420,140424,single_PCR,,
,40,400,40,40,240,720,140424,multi_PCR,,
,34,340,34,34,272,680,140424,single_PCR,,
230424_A,64,640,64,64,384,1152,230424,multi_PCR,"C_26_1_L, C_26_2_L, C_26_3_L, C_26_4_L",
230424_B,64,640,64,64,384,1152,230424,multi_PCR,"C_26_1_P, C_26_2_P, C_26_3_P, C_26_4_P",
,,,,,,,,,,
230424_C,70,700,70,70,420,1260,240424,multi_PCR,"62.10, 62.13, 62.9, 62.14",
250424_D_mono_cultures,,,,,,,,,"20.5_L, 68.6_P, 20.1_L, 20.2_L, 20.3_L, 20.4_L, 68.1_L, 68.2_L, 68.3_L",C_26_3&4_P_2
,35,350,35,35,210,630,20524,,"62.13_P, 62.7_P",
020524_L_mono,70,700,70,70,420,1260,20524,,"20.1_P, 20.2_P, 20.3_P, 20.4_68.9_P, 68.11_P, 68.12_P, 68.13_P, ",
020524_M_mono,70,700,70,70,420,1260,20524,,"20.5_P, 20.6_P, 20.7_P, 20.8_P, 20.9_P, 20.10, P, 20.11_P , 68.15_P ",
040524_N_mono,,,,,,,,,,
