strain ,replicate,colony_perimeter,halo_perimeter,colony_halo_ratio
AS093,1,589,1602,1.719864177
AS093,2,598,1630,1.725752508
AS093,3,570,1630,1.859649123
HN047,1,317,358,0.129337539
HN047,2,318,318,0
HN047,3,318,361,0.135220126
HN123,1,325,419,0.289230769
HN123,2,340,417,0.226470588
HN123,3,337,411,0.21958457
HN121,1,392,1300,2.316326531
HN121,2,373,1308,2.506702413
HN121,3,353,1074,2.042492918
HN132,1,336,378,0.125
HN132,2,356,370,0.039325843
HN132,3,337,359,0.065281899
MMO131,1,409,998,1.4400978
MMO131,2,454,916,1.017621145
MMO131,3,420,763,0.816666667
MMO143,1,466,708,0.519313305
MMO143,2,493,661,0.340770791
MMO143,3,483,617,0.277432712
USHLN143,1,271,323,0.191881919
USHLN143,2,279,331,0.186379928
USHLN143,3,282,340,0.205673759
USMM068,1,421,1266,2.007125891
USMM068,2,1181,2031,0.719729043
USMM068,3,972,1850,0.903292181
USMM066,1,436,1121,1.571100917
USMM066,2,444,1170,1.635135135
USMM066,3,994,1796,0.806841046
VD14,1,416,909,1.185096154
VD14,2,411,1001,1.435523114
VD14,3,442,1055,1.386877828
HN093,1,394,683,0.733502538
HN093,2,384,557,0.450520833
HN093,3,427,684,0.601873536
HN068,1,296,334,0.128378378
HN068,2,314,345,0.098726115
HN068,3,301,337,0.119601329
MMO128,1,381,903,1.37007874
MMO128,2,413,1104,1.673123487
MMO128,3,395,1013,1.564556962
HN020,1,322,342,0.062111801
HN020,2,339,355,0.04719764
HN020,3,337,351,0.041543027
AA010,1,311,669,1.151125402
AA010,2,315,706,1.241269841
AA010,3,315,653,1.073015873
AS116,1,238,381,0.600840336
AS116,2,238,345,0.449579832
AS116,3,245,364,0.485714286
AS167,1,329,329,0
AS167,2,383,383,0
AS167,3,380,380,0
HN034,1,425,1061,1.496470588
HN034,2,378,810,1.142857143
HN034,3,397,989,1.491183879
HN041,1,307,752,1.449511401
HN041,2,347,770,1.219020173
HN041,3,311,724,1.327974277
HN059,1,365,732,1.005479452
HN059,2,367,636,0.732970027
HN059,3,425,688,0.618823529
HN067,1,328,623,0.899390244
HN067,2,351,590,0.680911681
HN067,3,394,634,0.609137056
HN071,1,369,639,0.731707317
HN071,2,344,594,0.726744186
HN071,3,337,559,0.658753709
HN099,1,311,557,0.790996785
HN099,2,323,543,0.681114551
HN099,3,323,584,0.808049536
HN105,1,232,274,0.181034483
HN105,2,251,284,0.131474104
HN105,3,249,285,0.144578313
HN122,1,333,395,0.186186186
HN122,2,378,450,0.19047619
HN122,3,450,497,0.104444444
HN126,1,235,319,0.357446809
HN126,2,270,339,0.255555556
HN126,3,235,307,0.306382979
HN127,1,427,600,0.405152225
HN127,2,444,650,0.463963964
HN127,3,435,732,0.682758621
HN173,1,366,1172,2.202185792
HN173,2,358,554,0.547486034
HN173,3,309,485,0.569579288
MMO163,1,303,554,0.828382838
MMO163,2,287,562,0.958188153
MMO163,3,298,693,1.325503356
MMO130,1,263,586,1.228136882
MMO130,2,325,625,0.923076923
MMO130,3,295,424,0.437288136
M51,1,322,568,0.763975155
M51,2,311,546,0.75562701
M51,3,301,601,0.996677741
AS096,1,337,411,0.21958457
AS096,2,364,410,0.126373626
AS096,3,329,364,0.106382979
AS013,1,560,766,0.367857143
AS013,2,442,499,0.128959276
AS013,3,295,468,0.586440678
