#BGC Name	Clan Number	Family Number
AS013_contigs.fa_antismashcontig00001.region001_AS013_contigs.fa_antismash	11	11
AS013_contigs.fa_antismashcontig00002.region001_AS013_contigs.fa_antismash	11	12
AS013_contigs.fa_antismashcontig00004.region001_AS013_contigs.fa_antismash	11	13
AA010_contigs.fa_antismashcontig00001.region002_AA010_contigs.fa_antismash	11	15
AS013_contigs.fa_antismashcontig00016.region001_AS013_contigs.fa_antismash	11	15
HN034_contigs.fa_antismashcontig00002.region001_HN034_contigs.fa_antismash	11	15
AS031_contigs.fa_antismashcontig00004.region001_AS031_contigs.fa_antismash	11	19
AS083_contigs.fa_antismashcontig00003.region002_AS083_contigs.fa_antismash	11	29
AS093_contigs.fa_antismashcontig00003.region002_AS093_contigs.fa_antismash	11	29
AS170_contigs.fa_antismashcontig00004.region002_AS170_contigs.fa_antismash	11	29
AS222_contigs.fa_antismashcontig00003.region002_AS222_contigs.fa_antismash	11	29
HN117_contigs.fa_antismashcontig00009.region001_HN117_contigs.fa_antismash	11	29
HN118_contigs.fa_antismashcontig00010.region001_HN118_contigs.fa_antismash	11	29
HN119_contigs.fa_antismashcontig00009.region001_HN119_contigs.fa_antismash	11	29
MMO-102_contigs.fa_antismashcontig00004.region002_MMO-102_contigs.fa_antismash	11	29
USHLN04_contigs.fa_antismashcontig00009.region001_USHLN04_contigs.fa_antismash	11	29
USMM084_contigs.fa_antismashcontig00004.region002_USMM084_contigs.fa_antismash	11	29
USMM085_contigs.fa_antismashcontig00004.region001_USMM085_contigs.fa_antismash	11	29
AS096_contigs.fa_antismashcontig00001.region002_AS096_contigs.fa_antismash	11	53
AS116_contigs.fa_antismashcontig00001.region001_AS116_contigs.fa_antismash	11	53
HN020_contigs.fa_antismashcontig00002.region001_HN020_contigs.fa_antismash	11	53
AS096_contigs.fa_antismashcontig00001.region001_AS096_contigs.fa_antismash	11	62
AS116_contigs.fa_antismashcontig00001.region002_AS116_contigs.fa_antismash	11	62
HN020_contigs.fa_antismashcontig00006.region001_HN020_contigs.fa_antismash	11	62
HN047_contigs.fa_antismashcontig00002.region001_HN047_contigs.fa_antismash	11	62
HN068_contigs.fa_antismashcontig00009.region001_HN068_contigs.fa_antismash	11	62
HN105_contigs.fa_antismashcontig00010.region001_HN105_contigs.fa_antismash	11	62
HN123_contigs.fa_antismashcontig00001.region001_HN123_contigs.fa_antismash	11	62
