name_1	name_2	raw_distance	squared_similarity	jaccard_index	dss_index	adjacency_index	raw_dss_non_anchor	raw_dss_anchor	non_anchor_domains	anchor_domains	combined_group	shared_group	parent	class	order	family	genus	species
HN049	USHLN296	0.132761910557747	0.752101898193359	0.896551728248596	0.867238104343414	0.810810804367065	0.13810521364212	0.118513122200966	32	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
AS222	MMO-102	0.160312831401825	0.705074548721313	0.808510661125183	0.839687168598175	0.627118647098541	0.209310859441757	0.058233592659235	50	6	NRPS - NRPS	NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens_K
HN069	HN120	0.0354904979467392	0.930278599262238	0.982456147670746	0.9645094871521	0.9375	0.0355414599180221	0.0352314412593841	61	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USHLN162	USHLN165	0.163648352026939	0.69948410987854	0.884615361690521	0.836351633071899	0.850574731826782	0.152453541755676	0.238280445337296	80	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea dispersa
HN117	USMM084	0.0152836441993713	0.969666302204132	0.969696998596191	0.984716355800629	0.925000011920929	0.0156086357310414	0.0147690735757351	38	6	NRPS - NRPS	NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
HN162	MMO-43	0.243592709302902	0.572151958942413	0.595744669437408	0.756407260894775	0.555555582046509	0.248176410794258	0.230987548828125	33	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
MMO-120	MMO-89	8.48896452225745e-05	0.99983024597168	1	0.99991512298584	1	0.00010526315600145	0	50	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
USHLN192	USHLN193	0.266132533550262	0.538561463356018	0.765957474708557	0.733867466449738	0.629629611968994	0.28453654050827	0.0360824726521969	50	1	NRPS-like - NRPS-like	NRPS-like	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus
HN041	MMO-143	0.115899510681629	0.781633675098419	0.884615361690521	0.884100496768951	0.800000011920929	0.113503076136112	0.122010409832001	51	5	NRP-metallophore.redox-cofactor.NRPS - NRP-metallophore.redox-cofactor.NRPS	NRP-metallophore.redox-cofactor.NRPS	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii_H
AS183	HN110	0.205917298793793	0.630567312240601	0.413793116807938	0.794082701206207	0.392857134342194	0.220024764537811	0.18828296661377	10	2	NRP-metallophore.NRPS - NRPS	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	UBA7405	UBA7405 sp000755535
MMO-89	USHLN167	0.237253233790398	0.581782639026642	0.699999988079071	0.762746751308441	0.580645143985748	0.272714257240295	0.0865438282489777	51	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN100	MMO-90	0	1	1	1	1	0	0	50	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
USHLN271	USMM055	0.197851061820984	0.643442928791046	0.69767439365387	0.802148938179016	0.545454561710358	0.223639741539955	0.109739765524864	41	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei_A
AS222	HN117	0.182322636246681	0.668596267700195	0.580645143985748	0.81767737865448	0.615384638309479	0.229218244552612	0.147150933742523	27	9	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens_K
USHLN168	USMM087	0.162629067897797	0.701190054416656	0.89130437374115	0.837370932102203	0.7843137383461	0.173169791698456	0.0335051529109478	49	1	NRPS-like - NRPS-like	NRPS-like	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus
MMO-152	MMO-8	0.0968202129006386	0.815733730792999	0.823529422283173	0.90317976474762	0.695652186870575	0.0968202129006386	0	22	0	CDPS - CDPS	CDPS	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Gordonia	Gordonia malaquae
USMM058	USMM072	0	1	1	1	1	0	0	60	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN087	USMM055	2.88151222775923e-05	0.999942362308502	1	0.999971210956574	1	3.45781481883023e-05	0	60	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USMM088	USMM091	0.188609153032303	0.658355116844177	0.782608687877655	0.811390817165375	0.553571403026581	0.207566395401955	0.1478511095047	43	5	NRPS - NRPS	NRPS	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_S
AS083	USHLN08	0.227057427167892	0.597440242767334	0.653846144676208	0.77294260263443	0.647058844566345	0.38024166226387	0.0738731846213341	32	8	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens
USHLN291	USMM051	0.163746252655983	0.699320316314697	0.861111104488373	0.836253762245178	0.695652186870575	0.180142283439636	0.109092801809311	40	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei_A
MMO-126	USHLN177	0.0819841772317886	0.842753052711487	0.95652174949646	0.918015837669373	0.886792480945587	0.0792601555585861	0.0931072756648064	49	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
