Clustername 1,Clustername 2,Raw distance,Squared similarity,Jaccard index,DSS index,Adjacency index,raw DSS non-anchor,raw DSS anchor,Non-anchor domains,Anchor domains,Combined group,Shared group,cluster1,junk_1,contigregion_1,junk2,junk3,fileext,cluster2
MMO-14_contigs.fa_antismashcontig00014.region001_MMO-14_contigs.fa_antismash,S242_contigs.fa_antismashcontig00028.region001_S242_contigs.fa_antismash,0.04022903367877,0.9211602807044984,0.9354838728904724,0.9618523716926576,0.8709677457809448,0.0381476581096649,0.0,30,0,hserlactone - hserlactone,hserlactone,MMO-14,contigs.fa,antismashcontig00028.region001,S242,contigs.fa,antismash,S242
HN073_contigs.fa_antismashcontig00010.region001_HN073_contigs.fa_antismash,MMO-38_contigs.fa_antismashcontig00011.region001_MMO-38_contigs.fa_antismash,1.7347234759768068e-17,1.0,1.0,1.0,1.0,0.0,0.0,42,4,arylpolyene - arylpolyene,arylpolyene,HN073,contigs.fa,antismashcontig00011.region001,MMO-38,contigs.fa,antismash,MMO-38
USHLN262_contigs.fa_antismashcontig00001.region001_USHLN262_contigs.fa_antismash,VD5_contigs.fa_antismashcontig00024.region001_VD5_contigs.fa_antismash,0.1869367361068725,0.6610718965530396,0.9166666865348816,0.8125590682029724,0.7857142686843872,0.1874409019947052,0.0,15,0,arylpolyene.siderophore - siderophore,,USHLN262,contigs.fa,antismashcontig00024.region001,VD5,contigs.fa,antismash,VD5
HN100_contigs.fa_antismashcontig00010.region001_HN100_contigs.fa_antismash,USMM058_contigs.fa_antismashcontig00004.region001_USMM058_contigs.fa_antismash,0.1312563121318817,0.754715621471405,0.8181818127632141,0.870307445526123,0.8181818127632141,0.1296925395727157,0.0,12,0,siderophore - siderophore,siderophore,HN100,contigs.fa,antismashcontig00004.region001,USMM058,contigs.fa,antismash,USMM058
HN067_contigs.fa_antismashcontig00007.region001_HN067_contigs.fa_antismash,HN071_contigs.fa_antismashcontig00007.region001_HN071_contigs.fa_antismash,1.7347234759768068e-17,1.0,1.0,1.0,1.0,0.0,0.0,49,2,arylpolyene - arylpolyene,arylpolyene,HN067,contigs.fa,antismashcontig00007.region001,HN071,contigs.fa,antismash,HN071
MMO-119_contigs.fa_antismashcontig00008.region001_MMO-119_contigs.fa_antismash,MMO-88_contigs.fa_antismashcontig00005.region001_MMO-88_contigs.fa_antismash,0.1484182924032211,0.7251914143562317,0.7916666865348816,0.8560120463371277,0.6666666865348816,0.1439879387617111,0.0,21,0,hserlactone - hserlactone,hserlactone,MMO-119,contigs.fa,antismashcontig00005.region001,MMO-88,contigs.fa,antismash,MMO-88
USHLN179_contigs.fa_antismashcontig00003.region001_USHLN179_contigs.fa_antismash,USMM058_contigs.fa_antismashcontig00004.region001_USMM058_contigs.fa_antismash,0.0392666645348072,0.9230085611343384,0.8999999761581421,0.9661730527877808,0.7272727489471436,0.0338269285857677,0.0,11,0,siderophore - siderophore,siderophore,USHLN179,contigs.fa,antismashcontig00004.region001,USMM058,contigs.fa,antismash,USMM058
HN110_contigs.fa_antismashcontig00010.region001_HN110_contigs.fa_antismash,USMM062_contigs.fa_antismashcontig00010.region001_USMM062_contigs.fa_antismash,0.0331224612891674,0.9348521828651428,1.0,0.9658531546592712,1.0,0.0316143371164798,0.0407947674393653,42,4,arylpolyene - arylpolyene,arylpolyene,HN110,contigs.fa,antismashcontig00010.region001,USMM062,contigs.fa,antismash,USMM062
USHLN184_contigs.fa_antismashcontig00001.region001_USHLN184_contigs.fa_antismash,USMM062_contigs.fa_antismashcontig00002.region001_USMM062_contigs.fa_antismash,0.2716746628284454,0.5304577946662903,0.7307692170143127,0.7295714616775513,0.6666666865348816,0.2704285383224487,0.0,26,0,hserlactone - hserlactone,hserlactone,USHLN184,contigs.fa,antismashcontig00002.region001,USMM062,contigs.fa,antismash,USMM062
USMM054_contigs.fa_antismashcontig00004.region001_USMM054_contigs.fa_antismash,USMM058_contigs.fa_antismashcontig00004.region001_USMM058_contigs.fa_antismash,1.7347234759768068e-17,1.0,1.0,1.0,1.0,0.0,0.0,12,0,siderophore - siderophore,siderophore,USMM054,contigs.fa,antismashcontig00004.region001,USMM058,contigs.fa,antismash,USMM058
