BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
AA010_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=1479942 cov=38.6 corr=0 origname=NODE_1_length_1479942_cov_38.568649_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others		
AA010_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=1479942 cov=38.6 corr=0 origname=NODE_1_length_1479942_cov_38.568649_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor.NRP-metallophore.NRPS	Others		
AA010_contigs.fa_antismash_contig00003.region001	contig00003	contig00003 len=448156 cov=38.5 corr=0 origname=NODE_3_length_448156_cov_38.512692_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others		
AA010_contigs.fa_antismash_contig00004.region001	contig00004	contig00004 len=393384 cov=42.0 corr=0 origname=NODE_4_length_393384_cov_42.006837_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AA010_contigs.fa_antismash_contig00006.region001	contig00006	contig00006 len=231843 cov=41.1 corr=0 origname=NODE_6_length_231843_cov_41.124074_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AA010_contigs.fa_antismash_contig00007.region001	contig00007	contig00007 len=179138 cov=42.2 corr=0 origname=NODE_7_length_179138_cov_42.206287_pilon sw=shovill-spades/1.1.0 date=20220624	NRPS.hserlactone	Others		
AS011_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=2641988 cov=38.2 corr=0 origname=NODE_1_length_2641988_cov_38.233261_pilon sw=shovill-spades/1.1.0 date=20220624	NRP-metallophore.NRPS	Others		
AS011_contigs.fa_antismash_contig00007.region001	contig00007	contig00007 len=207215 cov=49.5 corr=0 origname=NODE_7_length_207215_cov_49.487229_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AS013_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=466536 cov=39.2 corr=0 origname=NODE_1_length_466536_cov_39.156192_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AS013_contigs.fa_antismash_contig00002.region001	contig00002	contig00002 len=456728 cov=39.3 corr=0 origname=NODE_2_length_456728_cov_39.253549_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others		
AS013_contigs.fa_antismash_contig00004.region001	contig00004	contig00004 len=332555 cov=41.6 corr=0 origname=NODE_4_length_332555_cov_41.594711_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others		
AS013_contigs.fa_antismash_contig00015.region001	contig00015	contig00015 len=63225 cov=40.4 corr=0 origname=NODE_15_length_63225_cov_40.382673_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AS013_contigs.fa_antismash_contig00016.region001	contig00016	contig00016 len=46611 cov=39.9 corr=0 origname=NODE_16_length_46611_cov_39.918602_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others		
AS031_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=1650167 cov=36.6 corr=0 origname=NODE_1_length_1650167_cov_36.642090_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone	Others		
AS031_contigs.fa_antismash_contig00004.region001	contig00004	contig00004 len=434034 cov=35.4 corr=0 origname=NODE_4_length_434034_cov_35.387278_pilon sw=shovill-spades/1.1.0 date=20220624	acyl_amino_acids.RiPP-like	Others		
AS031_contigs.fa_antismash_contig00004.region002	contig00004	contig00004 len=434034 cov=35.4 corr=0 origname=NODE_4_length_434034_cov_35.387278_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others		
AS083_contigs.fa_antismash_contig00003.region001	contig00003	contig00003 len=526595 cov=36.9 corr=0 origname=NODE_3_length_526595_cov_36.863850_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others		
AS083_contigs.fa_antismash_contig00003.region002	contig00003	contig00003 len=526595 cov=36.9 corr=0 origname=NODE_3_length_526595_cov_36.863850_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone.NRPS-like	Others		
AS083_contigs.fa_antismash_contig00008.region001	contig00008	contig00008 len=47657 cov=37.7 corr=0 origname=NODE_8_length_47657_cov_37.672444_pilon sw=shovill-spades/1.1.0 date=20220624	NRP-metallophore.NRPS	Others		
AS085_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=1268095 cov=36.3 corr=0 origname=NODE_1_length_1268095_cov_36.264427_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone.arylpolyene	Others		
AS085_contigs.fa_antismash_contig00002.region001	contig00002	contig00002 len=622617 cov=35.9 corr=0 origname=NODE_2_length_622617_cov_35.868062_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others		
AS085_contigs.fa_antismash_contig00008.region001	contig00008	contig00008 len=208753 cov=44.4 corr=0 origname=NODE_8_length_208753_cov_44.402378_pilon sw=shovill-spades/1.1.0 date=20220624	NRP-metallophore.NRPS	Others		
AS085_contigs.fa_antismash_contig00008.region002	contig00008	contig00008 len=208753 cov=44.4 corr=0 origname=NODE_8_length_208753_cov_44.402378_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone	Others		
AS091_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1324318 cov=37.2 corr=0 origname=NODE_1_length_1324318_cov_37.187474_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others		
AS091_contigs.fa_antismash_contig00002.region002	contig00002	contig00002 len=1033468 cov=38.9 corr=0 origname=NODE_2_length_1033468_cov_38.876347_pilon sw=shovill-spades/1.1.0 date=20220624	NRP-metallophore.NRPS	Others		
AS091_contigs.fa_antismash_contig00008.region001	contig00008	contig00008 len=229722 cov=45.5 corr=0 origname=NODE_8_length_229722_cov_45.466576_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AS093_contigs.fa_antismash_contig00003.region001	contig00003	contig00003 len=530606 cov=42.1 corr=0 origname=NODE_3_length_530606_cov_42.091239_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others		
AS093_contigs.fa_antismash_contig00003.region002	contig00003	contig00003 len=530606 cov=42.1 corr=0 origname=NODE_3_length_530606_cov_42.091239_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone.NRPS-like	Others		
AS093_contigs.fa_antismash_contig00012.region001	contig00012	contig00012 len=55179 cov=42.1 corr=0 origname=NODE_12_length_55179_cov_42.101438_pilon sw=shovill-spades/1.1.0 date=20220624	NRP-metallophore.NRPS	Others		
AS096_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=674056 cov=40.5 corr=0 origname=NODE_1_length_674056_cov_40.538409_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others		
AS096_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=674056 cov=40.5 corr=0 origname=NODE_1_length_674056_cov_40.538409_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others		
AS096_contigs.fa_antismash_contig00006.region001	contig00006	contig00006 len=204367 cov=42.1 corr=0 origname=NODE_6_length_204367_cov_42.053497_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AS113_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=454838 cov=40.5 corr=0 origname=NODE_1_length_454838_cov_40.545281_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone	Others		
AS113_contigs.fa_antismash_contig00018.region001	contig00018	contig00018 len=90384 cov=40.1 corr=0 origname=NODE_18_length_90384_cov_40.095322_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others		
AS116_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=653824 cov=39.5 corr=0 origname=NODE_1_length_653824_cov_39.489628_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others		
AS116_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=653824 cov=39.5 corr=0 origname=NODE_1_length_653824_cov_39.489628_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others		
AS116_contigs.fa_antismash_contig00007.region001	contig00007	contig00007 len=206572 cov=39.9 corr=0 origname=NODE_7_length_206572_cov_39.851677_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AS124_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=728456 cov=34.0 corr=0 origname=NODE_1_length_728456_cov_34.001303_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone	Others		
AS124_contigs.fa_antismash_contig00004.region001	contig00004	contig00004 len=389332 cov=38.4 corr=0 origname=NODE_4_length_389332_cov_38.424869_pilon sw=shovill-spades/1.1.0 date=20220624	NRP-metallophore.NRPS	Others		
