sampleID,contignumber,regionnumber,category,contig_edge,core_location,cutoff,detection_rule,product,protocluster_number,kind,internal_id,seq_run,seq_sumission_date,data_return_date,internal_date_isolate_received,source_lab,isolation_date,sample_location,sample_location_lat,sample_location_lon,sample_source,lab_field_derived,host_species_non_mosquito,life_stage_non_mosquito,sex_non_mosquito,tissue_non_mosquito,mosquito_species,mosquito_strain_lab,mosquito_life_stage,mosquito_sex,mosquito_female_feeding_status,mosquito_tissue,confirmed_growth_media,confirmed_growth_temp,qc_pass,completeness,contamination,genome_size_bp,number_contigs,mean_contig_length_bp,longest_contig_bp,gc,number_predicted_genes,n50,total_reads,avg_coverage,gtdb_domain,gtdb_parent,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,fastani_reference,fastani_ani,fastani_af,SRA_accession_no,SRA_accession_URL
AA010,contig00001,region001,NRPS,False,[15000:18999],5000.0,(AMP-binding and TIGR02353),NAPAA,1.0,single,AA010,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",43.123,-89.477,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,SAMN37642603,https://www.ncbi.nlm.nih.gov/sra/37642603
AA010,contig00001,region002,other,False,[5000:13418],20000.0,IucA_IucC,NI-siderophore,1.0,single,AA010,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",43.123,-89.477,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,SAMN37642603,https://www.ncbi.nlm.nih.gov/sra/37642603
AA010,contig00001,region003,RiPP,False,[10000:12191],20000.0,"(cds(PF04055 and (TIGR04085 or SPASM)) and (TIGR02111 or TIGR03966) and minimum(1, [Bottromycin_Methyltransferase_RRE, Cyanobactin_D_RRE, Cytolysin_C_RRE, Goadsporin_CD_RRE, Heterocycloanthracin_C_RRE, Lanthipeptide_LanB_RRE, Lasso_Fused_RRE, Mycofactocin_RRE, NHLP_CD_RRE, Other_Sactipeptide_rSAM_RRE, Pantocin_Microcin_RRE, Plantazolicin_C_RRE, PlpY_RRE, PqqD_RRE, Proteusin_Epimerase_RRE, Proteusin_Methyltransferase_RRE, Quinohemoprotein_rSAM_RRE, Ranthipeptide_rSAM_RRE, Stand_Alone_Lasso_RRE, Streptide_RRE, Subtilosin_rSAM_RRE, Thiaglutamate_B_RRE, Thiaglutamate_G_RRE, Thiaglutamate_I_RRE, Thiopeptide_F_RRE, Thuricin_rSAM_RRE, Thurincin_rSAM_RRE, Trifolitoxin_RRE]))",redox-cofactor,1.0,neighbouring,AA010,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",43.123,-89.477,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,SAMN37642603,https://www.ncbi.nlm.nih.gov/sra/37642603
AA010,contig00003,region001,other,False,[10000:19080],10000.0,(HMGL-like and AMP-binding),betalactone,1.0,single,AA010,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",43.123,-89.477,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,SAMN37642603,https://www.ncbi.nlm.nih.gov/sra/37642603
AA010,contig00004,region001,other,False,[20000:23603],20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AA010,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",43.123,-89.477,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,SAMN37642603,https://www.ncbi.nlm.nih.gov/sra/37642603
AA010,contig00006,region001,other,False,[20000:21230],20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AA010,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",43.123,-89.477,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,SAMN37642603,https://www.ncbi.nlm.nih.gov/sra/37642603
AA010,contig00007,region001,NRPS,False,[20000:23960],20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,neighbouring,AA010,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",43.123,-89.477,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,SAMN37642603,https://www.ncbi.nlm.nih.gov/sra/37642603
AA010,contig00009,region001,RiPP,False,[5000:7199],20000.0,(strepbact or Antimicrobial14 or Bacteriocin_IId or BacteriocIIc_cy or Bacteriocin_II or Bacteriocin_IIi or Lactococcin or Antimicrobial17 or Lactococcin_972 or Bacteriocin_IIc or LcnG-beta or Cloacin or Linocin_M18 or TIGR03651 or TIGR03693 or TIGR03601 or TIGR03795 or TIGR03975 or DUF692 or TIGR01193 or (YcaO or TIGR03604)),RiPP-like,1.0,single,AA010,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",43.123,-89.477,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,100.0,0.41,4025199.0,128.0,31446.0,1479942.0,38.7,3799.0,448156.0,5144915.0,189.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,SAMN37642603,https://www.ncbi.nlm.nih.gov/sra/37642603
AS011,contig00001,region001,RiPP,False,[10000:16303],20000.0,((YcaO or TIGR03604) and ((thio_amide and (PF06968 or PF04055 or PF07366)) or Lant_dehydr_C or Lant_dehydr_N or PF07366 or PF06968 or PF04055) or thiostrepton),thiopeptide,1.0,single,AS011,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,LB,28.0,Pass,99.69,0.44,4737009.0,56.0,84589.0,2641988.0,56.9,4339.0,2641988.0,5037213.0,157.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,,,,,SAMN37642604,https://www.ncbi.nlm.nih.gov/sra/37642604
AS011,contig00001,region002,terpene,False,[10000:13570],20000.0,(Terpene_synth or Terpene_synth_C or phytoene_synt or Lycopene_cycl or terpene_cyclase or NapT7 or fung_ggpps or fung_ggpps2 or trichodiene_synth or TRI5),terpene,1.0,single,AS011,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,LB,28.0,Pass,99.69,0.44,4737009.0,56.0,84589.0,2641988.0,56.9,4339.0,2641988.0,5037213.0,157.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,,,,,SAMN37642604,https://www.ncbi.nlm.nih.gov/sra/37642604
