file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
USMM051_contigs	contig00002	1	213917	234556	False	hserlactone				contig00002 len=477598 cov=45.8 corr=0 origname=NODE_2_length_477598_cov_45.797329_pilon sw=shovill-spades/1.1.0 date=20221108
USMM051_contigs	contig00003	1	128436	182136	False	NRP-metallophore / NRPS				contig00003 len=435311 cov=48.2 corr=0 origname=NODE_3_length_435311_cov_48.239407_pilon sw=shovill-spades/1.1.0 date=20221108
USMM051_contigs	contig00004	1	350094	364523	False	NI-siderophore				contig00004 len=390630 cov=46.6 corr=0 origname=NODE_4_length_390630_cov_46.638980_pilon sw=shovill-spades/1.1.0 date=20221108
USMM051_contigs	contig00007	1	183908	210212	False	thiopeptide				contig00007 len=268600 cov=46.5 corr=0 origname=NODE_7_length_268600_cov_46.490795_pilon sw=shovill-spades/1.1.0 date=20221108
USMM051_contigs	contig00009	1	81680	125250	False	arylpolyene				contig00009 len=201951 cov=49.3 corr=0 origname=NODE_9_length_201951_cov_49.291850_pilon sw=shovill-spades/1.1.0 date=20221108
USMM078_contigs	contig00001	1	881778	903943	False	redox-cofactor				contig00001 len=957108 cov=34.2 corr=0 origname=NODE_1_length_957108_cov_34.190870_pilon sw=shovill-spades/1.1.0 date=20221108
USMM078_contigs	contig00002	1	403580	453884	True	acyl_amino_acids				contig00002 len=453884 cov=31.6 corr=0 origname=NODE_2_length_453884_cov_31.639935_pilon sw=shovill-spades/1.1.0 date=20221108
USMM078_contigs	contig00004	1	5291	61906	True	hserlactone / arylpolyene				contig00004 len=295407 cov=35.2 corr=0 origname=NODE_4_length_295407_cov_35.209126_pilon sw=shovill-spades/1.1.0 date=20221108
USMM078_contigs	contig00011	1	30196	78581	False	NRPS				contig00011 len=126282 cov=31.9 corr=0 origname=NODE_11_length_126282_cov_31.879806_pilon sw=shovill-spades/1.1.0 date=20221108
USMM078_contigs	contig00017	1	10030	80952	False	NRP-metallophore / NRPS				contig00017 len=104250 cov=34.8 corr=0 origname=NODE_17_length_104250_cov_34.848078_pilon sw=shovill-spades/1.1.0 date=20221108
USMM078_contigs	contig00022	1	25088	48662	False	terpene				contig00022 len=95182 cov=32.7 corr=0 origname=NODE_22_length_95182_cov_32.724879_pilon sw=shovill-spades/1.1.0 date=20221108
USMM078_contigs	contig00024	1	9877	63726	True	NRP-metallophore / NRPS				contig00024 len=83462 cov=38.9 corr=0 origname=NODE_24_length_83462_cov_38.903073_pilon sw=shovill-spades/1.1.0 date=20221108
USMM078_contigs	contig00025	1	0	16359	True	thiopeptide				contig00025 len=78348 cov=35.6 corr=0 origname=NODE_25_length_78348_cov_35.559262_pilon sw=shovill-spades/1.1.0 date=20221108
HN173_contigs	contig00001	1	0	50379	True	NRPS / NRP-metallophore / NI-siderophore				contig00001 len=769466 cov=21.6 corr=0 origname=NODE_1_length_769466_cov_21.565539_pilon sw=shovill-spades/1.1.0 date=20220828
HN173_contigs	contig00002	1	159886	219251	False	NRPS				contig00002 len=555130 cov=23.2 corr=0 origname=NODE_2_length_555130_cov_23.242947_pilon sw=shovill-spades/1.1.0 date=20220828
HN173_contigs	contig00003	1	41252	67718	False	thiopeptide				contig00003 len=538788 cov=19.4 corr=0 origname=NODE_3_length_538788_cov_19.424431_pilon sw=shovill-spades/1.1.0 date=20220828
HN173_contigs	contig00004	1	214848	270980	False	NRP-metallophore / NRPS				contig00004 len=501645 cov=21.6 corr=0 origname=NODE_4_length_501645_cov_21.590137_pilon sw=shovill-spades/1.1.0 date=20220828
HN173_contigs	contig00005	1	195122	237681	False	ladderane				contig00005 len=476180 cov=18.8 corr=0 origname=NODE_5_length_476180_cov_18.807225_pilon sw=shovill-spades/1.1.0 date=20220828
