Clustername 1,Clustername 2,Raw distance,Squared similarity,Jaccard index,DSS index,Adjacency index,raw DSS non-anchor,raw DSS anchor,Non-anchor domains,Anchor domains,Combined group,Shared group,sampleID,junk,contigregion,junk2,junk3,fileext,cluster1,junk_1,contigregion_1,cluster2
USMM133_contigs.fa_antismashcontig00001.region001_USMM133_contigs.fa_antismash,USMM134_contigs.fa_antismashcontig00001.region001_USMM134_contigs.fa_antismash,0.0,1.0,1.0,1.0,1.0,0.0,0.0,44,1,NRPS-like - NRPS-like,NRPS-like,USMM133,contigs.fa,antismashcontig00001.region001,USMM134,contigs.fa,antismash,USMM133,contigs.fa,antismashcontig00001.region001,USMM134
HN087_contigs.fa_antismashcontig00003.region001_HN087_contigs.fa_antismash,MMO-122_contigs.fa_antismashcontig00003.region001_MMO-122_contigs.fa_antismash,0.0,1.0,1.0,1.0,1.0,0.0,0.0,47,3,NRPS - NRPS,NRPS,HN087,contigs.fa,antismashcontig00003.region001,MMO-122,contigs.fa,antismash,HN087,contigs.fa,antismashcontig00003.region001,MMO-122
HN073_contigs.fa_antismashcontig00003.region001_HN073_contigs.fa_antismash,USMM058_contigs.fa_antismashcontig00003.region001_USMM058_contigs.fa_antismash,3.516421566018835e-05,0.999929666519165,1.0,0.9999648332595824,1.0,4.414231443661265e-05,0.0,47,3,NRPS - NRPS,NRPS,HN073,contigs.fa,antismashcontig00003.region001,USMM058,contigs.fa,antismash,HN073,contigs.fa,antismashcontig00003.region001,USMM058
MMO-24_contigs.fa_antismashcontig00032.region001_MMO-24_contigs.fa_antismash,MMO-28_contigs.fa_antismashcontig00033.region001_MMO-28_contigs.fa_antismash,0.0,1.0,0.9629629850387572,1.0,0.8965517282485962,0.0,0.0,24,7,NRPS-like.NRPS - NRPS-like.NRPS,NRPS-like.NRPS,MMO-24,contigs.fa,antismashcontig00032.region001,MMO-28,contigs.fa,antismash,MMO-24,contigs.fa,antismashcontig00033.region001,MMO-28
AS212_contigs.fa_antismashcontig00001.region001_AS212_contigs.fa_antismash,HN065_contigs.fa_antismashcontig00004.region001_HN065_contigs.fa_antismash,0.2252102941274643,0.600299060344696,0.7058823704719543,0.7747896909713745,0.6393442749977112,0.2521607577800751,0.1129167377948761,50,3,NRPS - NRPS,NRPS,AS212,contigs.fa,antismashcontig00001.region001,HN065,contigs.fa,antismash,AS212,contigs.fa,antismashcontig00004.region001,HN065
USHLN270_contigs.fa_antismashcontig00019.region001_USHLN270_contigs.fa_antismash,USMM072_contigs.fa_antismashcontig00003.region001_USMM072_contigs.fa_antismash,0.1883592158555984,0.6587607860565186,0.8214285969734192,0.8116407990455627,0.7027027010917664,0.2180841267108917,0.1090928018093109,32,3,NRPS - NRPS,NRPS,USHLN270,contigs.fa,antismashcontig00019.region001,USMM072,contigs.fa,antismash,USHLN270,contigs.fa,antismashcontig00003.region001,USMM072
USHLN183_contigs.fa_antismashcontig00004.region003_USHLN183_contigs.fa_antismash,USMM088_contigs.fa_antismashcontig00002.region002_USMM088_contigs.fa_antismash,0.1348565369844436,0.7484732270240784,0.5918367505073547,0.8651434779167175,0.6078431606292725,0.1840338855981826,0.0414195992052555,38,5,NRPS - NRPS,NRPS,USHLN183,contigs.fa,antismashcontig00004.region003,USMM088,contigs.fa,antismash,USHLN183,contigs.fa,antismashcontig00002.region002,USMM088
MMO-89_contigs.fa_antismashcontig00004.region001_MMO-89_contigs.fa_antismash,USMM054_contigs.fa_antismashcontig00003.region001_USMM054_contigs.fa_antismash,0.0994764566421508,0.8109426498413086,0.9555555582046508,0.9005235433578491,0.9215686321258544,0.0985613614320755,0.1032131090760231,49,3,NRPS - NRPS,NRPS,MMO-89,contigs.fa,antismashcontig00004.region001,USMM054,contigs.fa,antismash,MMO-89,contigs.fa,antismashcontig00003.region001,USMM054
USHLN165_contigs.fa_antismashcontig00002.region001_USHLN165_contigs.fa_antismash,USHLN32_contigs.fa_antismashcontig00003.region001_USHLN32_contigs.fa_antismash,0.1975973546504974,0.6438500285148621,0.8571428656578064,0.8024026155471802,0.8115941882133484,0.1899399906396865,0.2377985268831253,63,3,NRPS - NRPS,NRPS,USHLN165,contigs.fa,antismashcontig00002.region001,USHLN32,contigs.fa,antismash,USHLN165,contigs.fa,antismashcontig00003.region001,USHLN32
MMO-88_contigs.fa_antismashcontig00004.region001_MMO-88_contigs.fa_antismash,VD12_contigs.fa_antismashcontig00077.region001_VD12_contigs.fa_antismash,0.1538604795932769,0.7159520983695984,0.8181818127632141,0.8461394906044006,0.739130437374115,0.1770925819873809,0.0986842513084411,19,2,NRPS - NRPS,NRPS,MMO-88,contigs.fa,antismashcontig00004.region001,VD12,contigs.fa,antismash,MMO-88,contigs.fa,antismashcontig00077.region001,VD12
USHLN162_contigs.fa_antismashcontig00004.region001_USHLN162_contigs.fa_antismash,USMM080_contigs.fa_antismashcontig00002.region001_USMM080_contigs.fa_antismash,0.1968039274215698,0.6451238989830017,0.7910447716712952,0.8031960725784302,0.6883116960525513,0.182460069656372,0.2709138393402099,62,3,NRPS - NRPS,NRPS,USHLN162,contigs.fa,antismashcontig00004.region001,USMM080,contigs.fa,antismash,USHLN162,contigs.fa,antismashcontig00002.region001,USMM080
HN120_contigs.fa_antismashcontig00002.region001_HN120_contigs.fa_antismash,USHLN271_contigs.fa_antismashcontig00007.region001_USHLN271_contigs.fa_antismash,0.1441084891557693,0.7325502634048462,0.7586206793785095,0.8558915257453918,0.6315789222717285,0.1598494797945022,0.1060677245259285,29,3,NRPS - NRPS,NRPS,HN120,contigs.fa,antismashcontig00002.region001,USHLN271,contigs.fa,antismash,HN120,contigs.fa,antismashcontig00007.region001,USHLN271
USHLN168_contigs.fa_antismashcontig00004.region001_USHLN168_contigs.fa_antismash,USHLN193_contigs.fa_antismashcontig00009.region003_USHLN193_contigs.fa_antismash,0.2142148613929748,0.6174582839012146,0.4074074029922485,0.7857851386070251,0.3499999940395355,0.4319067597389221,0.0305373128503561,54,16,NRPS - NRPS,NRPS,USHLN168,contigs.fa,antismashcontig00004.region001,USHLN193,contigs.fa,antismash,USHLN168,contigs.fa,antismashcontig00009.region003,USHLN193
MMO-88_contigs.fa_antismashcontig00004.region001_MMO-88_contigs.fa_antismash,USHLN291_contigs.fa_antismashcontig00020.region001_USHLN291_contigs.fa_antismash,0.1262425929307937,0.7634519934654236,0.8571428656578064,0.8737574219703674,0.800000011920929,0.1293343752622604,0.1185131222009658,30,3,NRPS - NRPS,NRPS,MMO-88,contigs.fa,antismashcontig00004.region001,USHLN291,contigs.fa,antismash,MMO-88,contigs.fa,antismashcontig00020.region001,USHLN291
