BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
AS170_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1097923 cov=40.7 corr=0 origname=NODE_1_length_1097923_cov_40.741712_pilon sw=shovill-spades/1.1.0 date=20220624	T1PKS.NRPS	PKS-NRP_Hybrids		
AS222_contigs.fa_antismash_contig00008.region001	contig00008	contig00008 len=203247 cov=37.8 corr=0 origname=NODE_8_length_203247_cov_37.837990_pilon sw=shovill-spades/1.1.0 date=20220828	T1PKS.NRPS	PKS-NRP_Hybrids		
BGC0000014	BGC0000014	Polyangium cellulosum strain So ce10 histidine kinase response regulator gene, partial cds; hypothetical protein genes, complete cds; ambruticin gene cluster, complete sequence; and hypothetical protein genes, complete cds	T1PKS.NRPS-like	PKS-NRP_Hybrids	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000020	BGC0000020	Actinosynnema pretiosum subsp. auranticum maytansinoid antitumor agent ansamitocin biosynthetic gene cluster I, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. auranticum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
BGC0000034	BGC0000034	Streptomyces sp. FR-008 heptaene macrolide complex synthesis gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces sp. FR-008	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000064	BGC0000064	Gibberella fujikuroi FUSS (fusA) gene, complete cds	T1PKS.NRPS	PKS-NRP_Hybrids	Fusarium verticillioides	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000066	BGC0000066	Streptomyces hygroscopicus strain NRRL 3602 geldanamycin biosynthesis gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000067	BGC0000067	Streptomyces hygroscopicus subsp. duamyceticus strain JCM4427 geldanamycin biosynthesis gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces hygroscopicus subsp. duamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000074	BGC0000074	Streptomyces hygroscopicus strain AM 3672 herbimycin polyketide biosynthetic gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000075	BGC0000075	Streptomyces sp. LZ35 hygrocin biosynthetic gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000090	BGC0000090	Actinosynnema pretiosum subsp. pretiosum strain ATCC 31280 macbecin biosynthesis gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. pretiosum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
