BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
AA010_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1479942 cov=38.6 corr=0 origname=NODE_1_length_1479942_cov_38.568649_pilon sw=shovill-spades/1.1.0 date=20220624	NAPAA	NRPS		
AA010_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=1479942 cov=38.6 corr=0 origname=NODE_1_length_1479942_cov_38.568649_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others		
AA010_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=1479942 cov=38.6 corr=0 origname=NODE_1_length_1479942_cov_38.568649_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor.NRP-metallophore.NRPS	Others		
AA010_contigs.fa_antismash_contig00003.region001	contig00003	contig00003 len=448156 cov=38.5 corr=0 origname=NODE_3_length_448156_cov_38.512692_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others		
AA010_contigs.fa_antismash_contig00004.region001	contig00004	contig00004 len=393384 cov=42.0 corr=0 origname=NODE_4_length_393384_cov_42.006837_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AA010_contigs.fa_antismash_contig00006.region001	contig00006	contig00006 len=231843 cov=41.1 corr=0 origname=NODE_6_length_231843_cov_41.124074_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others		
AA010_contigs.fa_antismash_contig00007.region001	contig00007	contig00007 len=179138 cov=42.2 corr=0 origname=NODE_7_length_179138_cov_42.206287_pilon sw=shovill-spades/1.1.0 date=20220624	NRPS.hserlactone	Others		
AA010_contigs.fa_antismash_contig00009.region001	contig00009	contig00009 len=98010 cov=39.9 corr=0 origname=NODE_9_length_98010_cov_39.874646_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS011_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=2641988 cov=38.2 corr=0 origname=NODE_1_length_2641988_cov_38.233261_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS011_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=2641988 cov=38.2 corr=0 origname=NODE_1_length_2641988_cov_38.233261_pilon sw=shovill-spades/1.1.0 date=20220624	terpene	Terpene		
