plate ,condition ,cfu ,dilution ,volume_dispensed,original_volume,total_bands,a_soli_bands,a_johnsonii_bands,percentage_a_soli,percentage_a_johnsonii,SDF,ITDF,TSDF,PDF,FDF,cfu_ml,a_soli_cfu,a_johnsonii_cfu,,,,,,,
25USMMO68_75HN020_A,25_75,95,6,100,1000,16,3,13,18.75,81.25,1,0.1,0.000001,0.1,0.0000001,950000000,178125000,771875000,,,,,,,
25USMMO68_75HN020_B,25_75,82,6,100,1000,16,4,12,25,75,1,0.1,0.000001,0.1,0.0000001,820000000,205000000,615000000,,,,,,,
25USMMO68_75HN020_C,25_75,83,6,100,1000,15,4,11,26.66666667,73.33333333,1,0.1,0.000001,0.1,0.0000001,830000000,221333333.3,608666666.7,,,,,,,
25USMMO68_75HN020_D,25_75,70,6,100,1000,16,4,12,25,75,1,0.1,0.000001,0.1,0.0000001,700000000,175000000,525000000,,,,,,,
25USMMO68_75HN020_A,75_25,65,6,100,1000,16,13,3,81.25,18.75,1,0.1,0.000001,0.1,0.0000001,650000000,528125000,121875000,,,,,,,
25USMMO68_75HN020_B,75_25,59,6,100,1000,16,12,4,75,25,1,0.1,0.000001,0.1,0.0000001,590000000,442500000,147500000,,,,,,,
25USMMO68_75HN020_C,75_25,73,6,100,1000,15,11,4,73.33333333,26.66666667,1,0.1,0.000001,0.1,0.0000001,730000000,535333333.3,194666666.7,,,,,,,
25USMMO68_75HN020_D,75_25,61,6,100,1000,16,15,1,93.75,6.25,1,0.1,0.000001,0.1,0.0000001,610000000,571875000,38125000,,,,,,,
25USMMO68_75HN020_A,50_50,52,6,100,1000,16,6,10,37.5,62.5,1,0.1,0.000001,0.1,0.0000001,520000000,195000000,325000000,,,,,,,
25USMMO68_75HN020_B,50_50,71,6,100,1000,16,9,7,56.25,43.75,1,0.1,0.000001,0.1,0.0000001,710000000,399375000,310625000,,,,,,,
25USMMO68_75HN020_C,50_50,66,6,100,1000,16,8,8,50,50,1,0.1,0.000001,0.1,0.0000001,660000000,330000000,330000000,,,,,,,
25USMMO68_75HN020_D,50_50,67,6,100,1000,16,8,8,50,50,1,0.1,0.000001,0.1,0.0000001,670000000,335000000,335000000,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
