#BGC Name	Clan Number	Family Number
AS216_contigs.fa_antismash_contig00002.region002	2779	142
USHLN178_contigs.fa_antismash_contig00001.region001	2779	142
USHLN180_contigs.fa_antismash_contig00001.region001	2779	142
USHLN191_contigs.fa_antismash_contig00001.region001	2779	142
AS218_contigs.fa_antismash_contig00004.region001	2779	147
MMO-140_contigs.fa_antismash_contig00002.region002	2779	147
AS224_contigs.fa_antismash_contig00003.region001	2779	162
CR11_contigs.fa_antismash_contig00002.region002	2779	2674
ERR3376858.1.fa_antismash_k141_21836.region001	2779	2690
ERR3376862.6.fa_antismash_k141_4656.region001	2779	2690
ERR4065CAT_bins.1.fa_antismash_k141_11738.region001	2779	2737
GV18_marked.15.fa_antismash_k141_770626.region001	2779	2777
AS085_contigs.fa_antismash_contig00002.region002	2779	2779
AS129_contigs.fa_antismash_contig00002.region002	2779	2779
AS139_contigs.fa_antismash_contig00002.region002	2779	2779
BGC0000642	2779	2779
HN003_contigs.fa_antismash_contig00001.region001	2779	2779
USHLN148_contigs.fa_antismash_contig00004.region001	2779	2779
USMM080_contigs.fa_antismash_contig00004.region002	2779	2779
USMM081_contigs.fa_antismash_contig00004.region002	2779	2779
USMM101_contigs.fa_antismash_contig00004.region001	2779	2779
LB16_contigs.fa_antismash_contig00137.region001	2779	3118
MMO-108_contigs.fa_antismash_contig00006.region001	2779	3162
MMO-108_contigs.fa_antismash_contig00027.region001	2779	3166
MMO-109_contigs.fa_antismash_contig00008.region001	2779	3171
MMO-42_contigs.fa_antismash_contig00007.region001	2779	3171
MMO-114_contigs.fa_antismash_contig00001.region001	2779	3185
MMO-104_contigs.fa_antismash_contig00001.region003	2779	3228
MMO-123_contigs.fa_antismash_contig00001.region003	2779	3228
MMO-124_contigs.fa_antismash_contig00001.region003	2779	3228
MMO-144_contigs.fa_antismash_contig00001.region003	2779	3228
MMO-82_contigs.fa_antismash_contig00001.region001	2779	3228
MMO-10_contigs.fa_antismash_contig00003.region001	2779	3282
MMO-138_contigs.fa_antismash_contig00007.region001	2779	3282
MMO-23_contigs.fa_antismash_contig00008.region001	2779	3282
MMO-32_contigs.fa_antismash_contig00008.region001	2779	3282
MMO-35_contigs.fa_antismash_contig00007.region001	2779	3282
AS218_contigs.fa_antismash_contig00001.region001	2779	3283
MMO-140_contigs.fa_antismash_contig00001.region001	2779	3283
MMO-47_contigs.fa_antismash_contig00004.region001	2779	3283
USHLN169_contigs.fa_antismash_contig00001.region001	2779	3283
USHLN173_contigs.fa_antismash_contig00001.region001	2779	3283
USHLN205_contigs.fa_antismash_contig00001.region001	2779	3283
MMO-152_contigs.fa_antismash_contig00001.region004	2779	3341
MMO-8_contigs.fa_antismash_contig00001.region004	2779	3341
MMO-160_contigs.fa_antismash_contig00015.region001	2779	3369
ERR3376858.2.fa_antismash_k141_78791.region001	2779	3391
ERR3376861.4.fa_antismash_k141_39886.region001	2779	3391
MMO-105_contigs.fa_antismash_contig00002.region001	2779	3391
MMO-16_contigs.fa_antismash_contig00002.region001	2779	3391
MMO-21_contigs.fa_antismash_contig00002.region001	2779	3391
SRR12517348.2.fa_antismash_k141_5901.region001	2779	3391
SRR12517350.3.fa_antismash_k141_11052.region001	2779	3391
SRR12517354.1.fa_antismash_k141_5377.region001	2779	3391
SRR14196806.3.fa_antismash_k141_65033.region001	2779	3391
SRR14196807.2.fa_antismash_k141_35613.region001	2779	3391
SRR14196810.2.fa_antismash_k141_115742.region001	2779	3391
USMM094_contigs.fa_antismash_contig00003.region001	2779	3391
USMM095_contigs.fa_antismash_contig00003.region001	2779	3391
USMM096_contigs.fa_antismash_contig00002.region001	2779	3391
USMM097_contigs.fa_antismash_contig00003.region001	2779	3391
MMO-172_contigs.fa_antismash_contig00008.region001	2779	3394
MMO-173_contigs.fa_antismash_contig00006.region001	2779	3401
MMO-175_contigs.fa_antismash_contig00003.region001	2779	3401
MMO-173_contigs.fa_antismash_contig00019.region001	2779	3408
MMO-174_contigs.fa_antismash_contig00002.region003	2779	3411
MMO-173_contigs.fa_antismash_contig00010.region001	2779	3418
MMO-175_contigs.fa_antismash_contig00009.region001	2779	3418
MMO-173_contigs.fa_antismash_contig00014.region001	2779	3422
MMO-175_contigs.fa_antismash_contig00017.region001	2779	3422
MMO-176_contigs.fa_antismash_contig00001.region001	2779	3423
MMO-177_contigs.fa_antismash_contig00002.region001	2779	3430
MMO-17_contigs.fa_antismash_contig00001.region003	2779	3437
MMO-17_contigs.fa_antismash_contig00004.region001	2779	3440
MMO-17_contigs.fa_antismash_contig00007.region001	2779	3442
MMO-19_contigs.fa_antismash_contig00001.region001	2779	3444
GV18_marked.12.fa_antismash_k141_351194.region001	2779	3451
MMO-153_contigs.fa_antismash_contig00001.region001	2779	3451
MMO-159_contigs.fa_antismash_contig00001.region001	2779	3451
MMO-20_contigs.fa_antismash_contig00001.region001	2779	3451
MMO-64_contigs.fa_antismash_contig00001.region001	2779	3451
MMO-78_contigs.fa_antismash_contig00001.region001	2779	3451
MMO-177_contigs.fa_antismash_contig00001.region002	2779	3608
MMO-58_contigs.fa_antismash_contig00004.region001	2779	3608
MMO-177_contigs.fa_antismash_contig00005.region001	2779	3611
MMO-58_contigs.fa_antismash_contig00006.region001	2779	3611
MMO-59_contigs.fa_antismash_contig00001.region001	2779	3616
MMO-59_contigs.fa_antismash_contig00003.region001	2779	3619
MMO-125_contigs.fa_antismash_contig00003.region001	2779	3641
MMO-161_contigs.fa_antismash_contig00002.region001	2779	3641
MMO-66_contigs.fa_antismash_contig00003.region001	2779	3641
MMO-75_contigs.fa_antismash_contig00003.region001	2779	3641
VD1_contigs.fa_antismash_contig00002.region001	2779	3641
MMO-136_contigs.fa_antismash_contig00017.region001	2779	3644
MMO-141_contigs.fa_antismash_contig00015.region001	2779	3644
MMO-154_contigs.fa_antismash_contig00004.region001	2779	3644
MMO-26_contigs.fa_antismash_contig00005.region001	2779	3644
MMO-27_contigs.fa_antismash_contig00010.region001	2779	3644
MMO-29_contigs.fa_antismash_contig00019.region001	2779	3644
MMO-67_contigs.fa_antismash_contig00004.region001	2779	3644
USHLN229_contigs.fa_antismash_contig00020.region001	2779	3644
USHLN230_contigs.fa_antismash_contig00005.region001	2779	3644
USHLN232_contigs.fa_antismash_contig00021.region001	2779	3644
MMO-127_contigs.fa_antismash_contig00016.region001	2779	3667
MMO-55_contigs.fa_antismash_contig00015.region001	2779	3667
MMO-72_contigs.fa_antismash_contig00018.region001	2779	3667
USHLN227_contigs.fa_antismash_contig00021.region001	2779	3667
VD8_contigs.fa_antismash_contig00071.region001	2779	3667
MMO-56_contigs.fa_antismash_contig00018.region001	2779	3677
MMO-70_contigs.fa_antismash_contig00008.region001	2779	3677
MMO-79_contigs.fa_antismash_contig00008.region001	2779	3677
MMO-81_contigs.fa_antismash_contig00002.region001	2779	3684
MMO-152_contigs.fa_antismash_contig00002.region002	2779	3735
MMO-8_contigs.fa_antismash_contig00003.region001	2779	3735
MMO-142_contigs.fa_antismash_contig00027.region001	2779	3742
MMO-146_contigs.fa_antismash_contig00026.region001	2779	3742
MMO-54_contigs.fa_antismash_contig00001.region003	2779	3742
MMO-68_contigs.fa_antismash_contig00001.region001	2779	3742
MMO-80_contigs.fa_antismash_contig00004.region002	2779	3742
MMO-87_contigs.fa_antismash_contig00001.region001	2779	3742
MMO-93_contigs.fa_antismash_contig00001.region001	2779	3742
MMO-142_contigs.fa_antismash_contig00027.region002	2779	3743
MMO-146_contigs.fa_antismash_contig00026.region002	2779	3743
MMO-54_contigs.fa_antismash_contig00001.region002	2779	3743
MMO-68_contigs.fa_antismash_contig00001.region002	2779	3743
