#BGC Name	Clan Number	Family Number
AS013_contigs.fa_antismash_contig00010.region001	4126	15
AS031_contigs.fa_antismash_contig00004.region001	4126	21
AS126_contigs.fa_antismash_contig00002.region003	4126	21
AS083_contigs.fa_antismash_contig00001.region002	4126	25
AS093_contigs.fa_antismash_contig00002.region002	4126	25
AS170_contigs.fa_antismash_contig00002.region002	4126	25
AS214_contigs.fa_antismash_contig00001.region004	4126	25
HN039_contigs.fa_antismash_contig00001.region004	4126	25
AS096_contigs.fa_antismash_contig00001.region003	4126	56
AS116_contigs.fa_antismash_contig00001.region001	4126	64
AS167_contigs.fa_antismash_contig00001.region001	4126	104
AS216_contigs.fa_antismash_contig00002.region001	4126	141
AS218_contigs.fa_antismash_contig00003.region001	4126	146
AS224_contigs.fa_antismash_contig00002.region001	4126	161
AS224_contigs.fa_antismash_contig00005.region001	4126	164
AS234_contigs.fa_antismash_contig00001.region002	4126	173
BGC0000602	4126	743
USHLN188_contigs.fa_antismash_contig00002.region002	4126	743
USHLN190_contigs.fa_antismash_contig00001.region002	4126	743
BGC0001640	4126	1699
USHLN215_contigs.fa_antismash_contig00009.region001	4126	1699
CR11_contigs.fa_antismash_contig00002.region003	4126	2675
CR11_contigs.fa_antismash_contig00003.region001	4126	2676
MMO-99_contigs.fa_antismash_contig00008.region001	4126	2676
USMM114_contigs.fa_antismash_contig00011.region001	4126	2676
USMM116_contigs.fa_antismash_contig00011.region001	4126	2676
CR41_contigs.fa_antismash_contig00023.region001	4126	2685
CR42_contigs.fa_antismash_contig00027.region001	4126	2685
MMO-31_contigs.fa_antismash_contig00008.region001	4126	2685
USHLN226_contigs.fa_antismash_contig00021.region001	4126	2685
ERR3376858.1.fa_antismash_k141_35128.region001	4126	2692
ERR3376862.6.fa_antismash_k141_33133.region001	4126	2692
ERR4065CAT_bins.1.fa_antismash_k141_7125.region001	4126	2743
USHLN259_contigs.fa_antismash_contig00017.region001	4126	2743
USHLN267_contigs.fa_antismash_contig00016.region001	4126	2743
ERR4065CAT_bins.1.fa_antismash_k141_7708.region001	4126	2744
ERR4065CAT_bins.2.fa_antismash_k141_54455.region001	4126	2751
MMO-14_contigs.fa_antismash_contig00003.region001	4126	2751
MMO-36_contigs.fa_antismash_contig00003.region001	4126	2751
MMO-41_contigs.fa_antismash_contig00003.region001	4126	2751
MMO-44_contigs.fa_antismash_contig00003.region001	4126	2751
S242_contigs.fa_antismash_contig00008.region001	4126	2751
USHLN021_contigs.fa_antismash_contig00009.region001	4126	2751
ERR4065CAT_bins.3.fa_antismash_k141_19084.region001	4126	2756
ERR4065CAT_bins.3.fa_antismash_k141_27997.region001	4126	2760
ERR4065CAT_bins.3.fa_antismash_k141_37479.region001	4126	2762
ERR4065CAT_bins.3.fa_antismash_k141_50264.region001	4126	2770
GV18_marked.15.fa_antismash_k141_844887.region001	4126	2778
HN010_contigs.fa_antismash_contig00010.region001	4126	2797
HN020_contigs.fa_antismash_contig00001.region001	4126	2803
HN020_contigs.fa_antismash_contig00006.region001	4126	2805
HN047_contigs.fa_antismash_contig00011.region001	4126	2879
HN068_contigs.fa_antismash_contig00005.region001	4126	2879
HN123_contigs.fa_antismash_contig00001.region002	4126	2879
HN126_contigs.fa_antismash_contig00001.region002	4126	2879
HN127_contigs.fa_antismash_contig00001.region001	4126	2879
HN132_contigs.fa_antismash_contig00001.region001	4126	2879
AS096_contigs.fa_antismash_contig00004.region001	4126	2935
AS116_contigs.fa_antismash_contig00006.region001	4126	2935
ERR3376859.5.fa_antismash_k141_54440.region001	4126	2935
HN020_contigs.fa_antismash_contig00009.region001	4126	2935
HN067_contigs.fa_antismash_contig00012.region001	4126	2935
HN071_contigs.fa_antismash_contig00012.region001	4126	2935
HN093_contigs.fa_antismash_contig00012.region001	4126	2935
HN099_contigs.fa_antismash_contig00013.region001	4126	2935
M51_contigs.fa_antismash_contig00002.region002	4126	2935
MMO-128_contigs.fa_antismash_contig00002.region003	4126	2935
MMO-130_contigs.fa_antismash_contig00013.region001	4126	2935
MMO-131_contigs.fa_antismash_contig00013.region001	4126	2935
MMO-143_contigs.fa_antismash_contig00002.region003	4126	2935
MMO-163_contigs.fa_antismash_contig00013.region001	4126	2935
VD14_contigs.fa_antismash_contig00002.region002	4126	2935
HN105_contigs.fa_antismash_contig00010.region002	4126	2945
HN117_contigs.fa_antismash_contig00007.region001	4126	2974
HN118_contigs.fa_antismash_contig00008.region001	4126	2974
HN119_contigs.fa_antismash_contig00008.region001	4126	2974
USHLN04_contigs.fa_antismash_contig00008.region001	4126	2974
HN121_contigs.fa_antismash_contig00001.region001	4126	2995
HN122_contigs.fa_antismash_contig00001.region001	4126	2995
USMM066_contigs.fa_antismash_contig00002.region001	4126	2995
USMM068_contigs.fa_antismash_contig00002.region001	4126	2995
HN010_contigs.fa_antismash_contig00007.region001	4126	3033
HN128_contigs.fa_antismash_contig00008.region001	4126	3033
HN182_contigs.fa_antismash_contig00002.region001	4126	3033
MMO-33_contigs.fa_antismash_contig00006.region001	4126	3033
MMO-34_contigs.fa_antismash_contig00006.region001	4126	3033
MMO-95_contigs.fa_antismash_contig00006.region001	4126	3033
MMO-97_contigs.fa_antismash_contig00002.region001	4126	3033
SRR13132392.2.fa_antismash_k141_61791.region001	4126	3033
VD9_contigs.fa_antismash_contig00007.region001	4126	3033
HN047_contigs.fa_antismash_contig00009.region001	4126	3040
HN068_contigs.fa_antismash_contig00004.region001	4126	3040
HN123_contigs.fa_antismash_contig00006.region001	4126	3040
HN126_contigs.fa_antismash_contig00005.region001	4126	3040
HN127_contigs.fa_antismash_contig00004.region001	4126	3040
HN132_contigs.fa_antismash_contig00008.region001	4126	3040
HN182_contigs.fa_antismash_contig00004.region001	4126	3092
MMO-33_contigs.fa_antismash_contig00004.region001	4126	3092
MMO-34_contigs.fa_antismash_contig00004.region001	4126	3092
MMO-95_contigs.fa_antismash_contig00004.region001	4126	3092
MMO-97_contigs.fa_antismash_contig00004.region001	4126	3092
BGC0001391	4126	3099
LB14_contigs.fa_antismash_contig00024.region001	4126	3099
M50_contigs.fa_antismash_contig00184.region001	4126	3125
AA010_contigs.fa_antismash_contig00001.region003	4126	3129
ERR3376859.5.fa_antismash_k141_93323.region001	4126	3129
HN034_contigs.fa_antismash_contig00001.region003	4126	3129
HN041_contigs.fa_antismash_contig00001.region001	4126	3129
HN059_contigs.fa_antismash_contig00003.region001	4126	3129
M51_contigs.fa_antismash_contig00007.region001	4126	3129
MMO-128_contigs.fa_antismash_contig00002.region001	4126	3129
MMO-143_contigs.fa_antismash_contig00002.region001	4126	3129
VD14_contigs.fa_antismash_contig00003.region001	4126	3129
MMO-108_contigs.fa_antismash_contig00019.region001	4126	3165
