sampleID	family_number	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy	marker_lineage	number_genomes	number_markers	number_marker_sets	completeness	contamination	strain_heterogeneity	genome_size_bp	number_ambiguous_bases	number_scaffolds	number_contigs	n50_scaffolds	n50_contigs	mean_scaffold_length_bp	mean_contig_length_bp	longest_scaffold_bp	longest_contig_bp	gc	gc_std_scaffolds_1kbp	coding_density	translation_table	number_predicted_genes	x0	x1	x2	x3	x4	x5	genome	parent	class	order	family	genus	species
AS013	12	contig00001	contig00001 len=466536 cov=39.2 corr=0 origname=NODE_1_length_466536_cov_39.156192_pilon sw=shovill-spades/1.1.0 date=20220624	arylpolyene	Others	NA	NA	f__Moraxellaceae (UID4680)	86	689	365	99.73	0.68	0	3579498	0	54	54	244439	244439	66287	66287	466536	466536	40.1	3	86.88	11	3387	1	685	3	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter tandoii
AS013	13	contig00002	contig00002 len=456728 cov=39.3 corr=0 origname=NODE_2_length_456728_cov_39.253549_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others	NA	NA	f__Moraxellaceae (UID4680)	86	689	365	99.73	0.68	0	3579498	0	54	54	244439	244439	66287	66287	466536	466536	40.1	3	86.88	11	3387	1	685	3	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter tandoii
AS013	14	contig00004	contig00004 len=332555 cov=41.6 corr=0 origname=NODE_4_length_332555_cov_41.594711_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others	NA	NA	f__Moraxellaceae (UID4680)	86	689	365	99.73	0.68	0	3579498	0	54	54	244439	244439	66287	66287	466536	466536	40.1	3	86.88	11	3387	1	685	3	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter tandoii
AS031	21	contig00004	contig00004 len=434034 cov=35.4 corr=0 origname=NODE_4_length_434034_cov_35.387278_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like.acyl_amino_acids	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	876	305	99.28	0.33	0	3968840	0	55	55	470326	470326	72160	72160	1650167	1650167	56.4	5.07	87.7	11	3646	3	872	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea eucrina
AS083	31	contig00003	contig00003 len=526595 cov=36.9 corr=0 origname=NODE_3_length_526595_cov_36.863850_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone.NRPS-like	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.8	0	0	4975917	0	40	40	2506594	2506594	124397	124397	2506594	2506594	59.8	4.13	87.78	11	4593	7	539	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens
AS093	31	contig00003	contig00003 len=530606 cov=42.1 corr=0 origname=NODE_3_length_530606_cov_42.091239_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone.NRPS-like	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.81	0	0	5084370	0	37	37	530606	530606	137415	137415	1375489	1375489	59.8	2.47	87.78	11	4720	6	540	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens
AS170	31	contig00004	contig00004 len=603023 cov=42.4 corr=0 origname=NODE_4_length_603023_cov_42.392374_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone.NRPS-like	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.86	0.22	0	5301274	0	40	40	603023	603023	132531	132531	1097923	1097923	59.1	3.35	87.9	11	4933	5	540	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia bockelmannii
AS222	31	contig00003	contig00003 len=558297 cov=37.0 corr=0 origname=NODE_3_length_558297_cov_37.032808_pilon sw=shovill-spades/1.1.0 date=20220828	hserlactone.NRPS-like	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.81	0	0	5207442	0	53	53	1225085	1225085	98253	98253	1712926	1712926	59.9	3.81	87.75	11	4800	6	540	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens_K
HN117	31	contig00009	contig00009 len=167526 cov=43.0 corr=0 origname=NODE_9_length_167526_cov_42.967195_pilon sw=shovill-spades/1.1.0 date=20220625	hserlactone	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.8	0	0	5466773	0	81	81	249019	249019	67491	67491	895517	895517	59.6	3.07	87.61	11	5118	7	539	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
HN118	31	contig00010	contig00010 len=167526 cov=42.3 corr=0 origname=NODE_10_length_167526_cov_42.302972_pilon sw=shovill-spades/1.1.0 date=20220625	hserlactone	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.81	0	0	5506515	0	82	82	249017	249017	67152	67152	895517	895517	59.4	3.98	87.5	11	5153	6	540	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
HN119	31	contig00009	contig00009 len=167524 cov=42.0 corr=0 origname=NODE_9_length_167524_cov_42.015919_pilon sw=shovill-spades/1.1.0 date=20220625	hserlactone	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.8	0	0	5506321	0	76	76	360078	360078	72451	72451	895517	895517	59.4	4.03	87.51	11	5155	7	539	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
MMO-102	31	contig00004	contig00004 len=640027 cov=37.0 corr=0 origname=NODE_4_length_640027_cov_36.975097_pilon sw=shovill-spades/1.1.0 date=20220812	hserlactone.NRPS-like	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.81	0.56	0	5499790	0	79	79	697572	697572	69617	69617	1172327	1172327	59.7	3.98	87.97	11	5138	6	538	2	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
USHLN04	31	contig00009	contig00009 len=167294 cov=31.3 corr=0 origname=NODE_9_length_167294_cov_31.261498_pilon sw=shovill-spades/1.1.0 date=20220627	hserlactone	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.8	0	0	5466568	0	85	85	360045	360045	64312	64312	964640	964640	59.6	3.61	87.66	11	5132	7	539	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
USMM084	31	contig00004	contig00004 len=485555 cov=48.7 corr=0 origname=NODE_4_length_485555_cov_48.700355_pilon sw=shovill-spades/1.1.0 date=20221108	hserlactone.NRPS-like	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.8	0.45	0	5183938	0	72	72	485555	485555	71999	71999	976936	976936	59.9	3.12	87.73	11	4796	7	538	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
USMM085	31	contig00004	contig00004 len=485555 cov=47.9 corr=0 origname=NODE_4_length_485555_cov_47.909759_pilon sw=shovill-spades/1.1.0 date=20221108	hserlactone.NRPS-like	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.8	0.45	0	5183936	0	74	74	485555	485555	70053	70053	978356	978356	59.9	3.29	87.74	11	4800	7	538	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
AS085	39	contig00008	contig00008 len=208753 cov=44.4 corr=0 origname=NODE_8_length_208753_cov_44.402378_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	875	305	100	0.58	0	4866969	0	89	89	424945	424945	54685	54685	1268095	1268095	55.2	1.53	86.55	11	4504	0	870	5	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans
AS096	65	contig00001	contig00001 len=674056 cov=40.5 corr=0 origname=NODE_1_length_674056_cov_40.538409_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others	NA	NA	f__Moraxellaceae (UID4680)	86	689	365	99.96	0	0	3508081	0	59	59	212075	212075	59459	59459	674056	674056	38.3	5.12	88.12	11	3321	1	688	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter beijerinckii
AS116	65	contig00001	contig00001 len=653824 cov=39.5 corr=0 origname=NODE_1_length_653824_cov_39.489628_pilon sw=shovill-spades/1.1.0 date=20220624	betalactone	Others	NA	NA	f__Moraxellaceae (UID4680)	86	689	365	100	0	0	3323739	0	189	189	325545	325545	17585	17585	653824	653824	38.5	3.97	88.72	11	3262	0	689	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii
