#BGC Name	Clan Number	Family Number
AS013_contigs.fa_antismash_contig00001.region001	2814	12
AS013_contigs.fa_antismash_contig00002.region001	2814	13
AS013_contigs.fa_antismash_contig00004.region001	2814	14
AS031_contigs.fa_antismash_contig00004.region001	2814	21
AS083_contigs.fa_antismash_contig00003.region002	2814	31
AS093_contigs.fa_antismash_contig00003.region002	2814	31
AS170_contigs.fa_antismash_contig00004.region002	2814	31
AS222_contigs.fa_antismash_contig00003.region002	2814	31
HN117_contigs.fa_antismash_contig00009.region001	2814	31
HN118_contigs.fa_antismash_contig00010.region001	2814	31
HN119_contigs.fa_antismash_contig00009.region001	2814	31
MMO-102_contigs.fa_antismash_contig00004.region002	2814	31
USHLN04_contigs.fa_antismash_contig00009.region001	2814	31
USMM084_contigs.fa_antismash_contig00004.region002	2814	31
USMM085_contigs.fa_antismash_contig00004.region001	2814	31
AS096_contigs.fa_antismash_contig00001.region002	2814	55
AS116_contigs.fa_antismash_contig00001.region002	2814	55
HN020_contigs.fa_antismash_contig00002.region001	2814	55
AS142_contigs.fa_antismash_contig00015.region002	2814	103
AS167_contigs.fa_antismash_contig00021.region001	2814	106
AS218_contigs.fa_antismash_contig00003.region001	2814	146
AS218_contigs.fa_antismash_contig00004.region001	2814	147
AS224_contigs.fa_antismash_contig00003.region002	2814	163
AS230_contigs.fa_antismash_contig00008.region001	2814	169
AS231_contigs.fa_antismash_contig00004.region001	2814	170
BGC0000888	2814	1287
BGC0001184	2814	1287
USHLN188_contigs.fa_antismash_contig00002.region001	2814	1287
USHLN190_contigs.fa_antismash_contig00001.region003	2814	1287
CR11_contigs.fa_antismash_contig00002.region002	2814	2674
CR41_contigs.fa_antismash_contig00004.region002	2814	2678
CR42_contigs.fa_antismash_contig00002.region001	2814	2678
MMO-31_contigs.fa_antismash_contig00009.region002	2814	2678
USHLN226_contigs.fa_antismash_contig00004.region002	2814	2678
ERR3376858.1.fa_antismash_k141_21836.region001	2814	2690
ERR3376862.6.fa_antismash_k141_4656.region001	2814	2690
BGC0002076	2814	2694
ERR3376858.1.fa_antismash_k141_63825.region001	2814	2694
ERR3376862.6.fa_antismash_k141_71717.region001	2814	2694
ERR3376858.1.fa_antismash_k141_58813.region001	2814	2716
ERR3376862.6.fa_antismash_k141_28063.region002	2814	2716
ERR3376864.4.fa_antismash_k141_4460.region001	2814	2716
USMM045_contigs.fa_antismash_contig00002.region001	2814	2716
USMM046_contigs.fa_antismash_contig00004.region001	2814	2716
USMM047_contigs.fa_antismash_contig00002.region001	2814	2716
USMM048_contigs.fa_antismash_contig00009.region001	2814	2716
ERR3376864.4.fa_antismash_k141_20141.region001	2814	2726
ERR3376864.4.fa_antismash_k141_20141.region002	2814	2727
ERR3376864.4.fa_antismash_k141_58045.region001	2814	2731
ERR4065CAT_bins.2.fa_antismash_k141_52021.region001	2814	2750
MMO-14_contigs.fa_antismash_contig00001.region001	2814	2750
MMO-36_contigs.fa_antismash_contig00001.region001	2814	2750
MMO-41_contigs.fa_antismash_contig00001.region001	2814	2750
MMO-44_contigs.fa_antismash_contig00001.region001	2814	2750
S242_contigs.fa_antismash_contig00007.region001	2814	2750
USHLN021_contigs.fa_antismash_contig00003.region001	2814	2750
ERR4065CAT_bins.3.fa_antismash_k141_25889.region001	2814	2759
ERR4065CAT_bins.3.fa_antismash_k141_45556.region001	2814	2766
ERR4065CAT_bins.3.fa_antismash_k141_9931.region001	2814	2774
AS085_contigs.fa_antismash_contig00008.region002	2814	2783
AS129_contigs.fa_antismash_contig00004.region001	2814	2783
AS139_contigs.fa_antismash_contig00008.region002	2814	2783
HN003_contigs.fa_antismash_contig00004.region001	2814	2783
HN022_contigs.fa_antismash_contig00002.region001	2814	2783
HN003_contigs.fa_antismash_contig00012.region001	2814	2787
AS129_contigs.fa_antismash_contig00002.region001	2814	2802
HN019_contigs.fa_antismash_contig00003.region002	2814	2802
USHLN148_contigs.fa_antismash_contig00004.region002	2814	2802
USMM080_contigs.fa_antismash_contig00004.region001	2814	2802
USMM081_contigs.fa_antismash_contig00004.region001	2814	2802
USMM101_contigs.fa_antismash_contig00004.region002	2814	2802
HN020_contigs.fa_antismash_contig00008.region001	2814	2806
AS085_contigs.fa_antismash_contig00008.region001	2814	2814
AS129_contigs.fa_antismash_contig00004.region002	2814	2814
AS139_contigs.fa_antismash_contig00008.region001	2814	2814
AS142_contigs.fa_antismash_contig00004.region001	2814	2814
HN003_contigs.fa_antismash_contig00004.region002	2814	2814
HN022_contigs.fa_antismash_contig00002.region002	2814	2814
USHLN148_contigs.fa_antismash_contig00003.region001	2814	2814
USHLN165_contigs.fa_antismash_contig00002.region001	2814	2814
USHLN298_contigs.fa_antismash_contig00004.region001	2814	2814
USMM080_contigs.fa_antismash_contig00002.region001	2814	2814
USMM081_contigs.fa_antismash_contig00002.region001	2814	2814
USMM101_contigs.fa_antismash_contig00003.region001	2814	2814
AS085_contigs.fa_antismash_contig00002.region001	2814	2815
AS139_contigs.fa_antismash_contig00002.region001	2814	2815
AS142_contigs.fa_antismash_contig00003.region002	2814	2815
BGC0001572	2814	2815
HN003_contigs.fa_antismash_contig00001.region002	2814	2815
HN022_contigs.fa_antismash_contig00003.region001	2814	2815
USHLN165_contigs.fa_antismash_contig00005.region001	2814	2815
USHLN298_contigs.fa_antismash_contig00005.region001	2814	2815
AA010_contigs.fa_antismash_contig00001.region002	2814	2822
AS013_contigs.fa_antismash_contig00016.region001	2814	2822
HN034_contigs.fa_antismash_contig00002.region001	2814	2822
AS096_contigs.fa_antismash_contig00001.region001	2814	2846
AS116_contigs.fa_antismash_contig00001.region003	2814	2846
BGC0000295	2814	2846
HN020_contigs.fa_antismash_contig00006.region001	2814	2846
HN047_contigs.fa_antismash_contig00002.region001	2814	2846
HN068_contigs.fa_antismash_contig00009.region001	2814	2846
HN105_contigs.fa_antismash_contig00010.region001	2814	2846
HN123_contigs.fa_antismash_contig00001.region001	2814	2846
HN126_contigs.fa_antismash_contig00001.region001	2814	2846
HN127_contigs.fa_antismash_contig00001.region002	2814	2846
HN132_contigs.fa_antismash_contig00001.region002	2814	2846
USHLN143_contigs.fa_antismash_contig00076.region001	2814	2846
HN047_contigs.fa_antismash_contig00009.region001	2814	2878
HN068_contigs.fa_antismash_contig00004.region001	2814	2878
HN123_contigs.fa_antismash_contig00006.region001	2814	2878
HN126_contigs.fa_antismash_contig00005.region001	2814	2878
HN127_contigs.fa_antismash_contig00004.region001	2814	2878
HN132_contigs.fa_antismash_contig00008.region001	2814	2878
HN079_contigs.fa_antismash_contig00004.region001	2814	2901
HN173_contigs.fa_antismash_contig00004.region001	2814	2901
MMO-151_contigs.fa_antismash_contig00010.region001	2814	2901
MMO-24_contigs.fa_antismash_contig00010.region001	2814	2901
MMO-28_contigs.fa_antismash_contig00003.region001	2814	2901
HN079_contigs.fa_antismash_contig00009.region001	2814	2903
MMO-151_contigs.fa_antismash_contig00008.region001	2814	2903
MMO-24_contigs.fa_antismash_contig00008.region001	2814	2903
MMO-28_contigs.fa_antismash_contig00008.region001	2814	2903
HN079_contigs.fa_antismash_contig00010.region001	2814	2904
MMO-151_contigs.fa_antismash_contig00009.region001	2814	2904
MMO-24_contigs.fa_antismash_contig00009.region001	2814	2904
MMO-28_contigs.fa_antismash_contig00009.region001	2814	2904
AA010_contigs.fa_antismash_contig00003.region001	2814	2933
ERR3376859.5.fa_antismash_k141_29742.region001	2814	2933
HN034_contigs.fa_antismash_contig00001.region002	2814	2933
HN041_contigs.fa_antismash_contig00001.region002	2814	2933
HN059_contigs.fa_antismash_contig00003.region002	2814	2933
HN067_contigs.fa_antismash_contig00010.region001	2814	2933
HN071_contigs.fa_antismash_contig00010.region001	2814	2933
HN093_contigs.fa_antismash_contig00009.region001	2814	2933
HN099_contigs.fa_antismash_contig00011.region001	2814	2933
M51_contigs.fa_antismash_contig00002.region001	2814	2933
MMO-128_contigs.fa_antismash_contig00002.region002	2814	2933
MMO-130_contigs.fa_antismash_contig00011.region001	2814	2933
MMO-131_contigs.fa_antismash_contig00011.region001	2814	2933
MMO-143_contigs.fa_antismash_contig00002.region002	2814	2933
MMO-163_contigs.fa_antismash_contig00011.region001	2814	2933
VD14_contigs.fa_antismash_contig00002.region001	2814	2933
AS091_contigs.fa_antismash_contig00008.region001	2814	2941
AS124_contigs.fa_antismash_contig00010.region001	2814	2941
AS183_contigs.fa_antismash_contig00005.region001	2814	2941
AS209_contigs.fa_antismash_contig00002.region001	2814	2941
AS212_contigs.fa_antismash_contig00008.region001	2814	2941
AS230_contigs.fa_antismash_contig00004.region001	2814	2941
HN007_contigs.fa_antismash_contig00010.region001	2814	2941
HN049_contigs.fa_antismash_contig00010.region001	2814	2941
HN065_contigs.fa_antismash_contig00010.region001	2814	2941
HN069_contigs.fa_antismash_contig00011.region001	2814	2941
HN073_contigs.fa_antismash_contig00010.region001	2814	2941
HN087_contigs.fa_antismash_contig00009.region001	2814	2941
HN091_contigs.fa_antismash_contig00009.region001	2814	2941
HN100_contigs.fa_antismash_contig00009.region001	2814	2941
HN109_contigs.fa_antismash_contig00011.region001	2814	2941
