#BGC Name	Family Number
AS170_contigs.fa_antismash_contig00001.region001	107
BGC0001415	107
AS222_contigs.fa_antismash_contig00008.region001	160
HN182_contigs.fa_antismash_contig00001.region001	3090
MMO-33_contigs.fa_antismash_contig00001.region001	3090
MMO-34_contigs.fa_antismash_contig00001.region001	3090
MMO-95_contigs.fa_antismash_contig00001.region001	3090
MMO-97_contigs.fa_antismash_contig00001.region001	3090
SRR13132392.2.fa_antismash_k141_204347.region001	3090
MMO-104_contigs.fa_antismash_contig00001.region002	3227
MMO-123_contigs.fa_antismash_contig00001.region002	3227
MMO-124_contigs.fa_antismash_contig00001.region002	3227
MMO-144_contigs.fa_antismash_contig00001.region002	3227
MMO-82_contigs.fa_antismash_contig00001.region002	3227
MMO-59_contigs.fa_antismash_contig00018.region001	3629
MMO-59_contigs.fa_antismash_contig00020.region001	3630
USHLN010_contigs.fa_antismash_contig00001.region003	3878
USHLN030_contigs.fa_antismash_contig00001.region002	3946
USHLN139_contigs.fa_antismash_contig00002.region001	3982
USHLN188_contigs.fa_antismash_contig00001.region004	4184
USHLN190_contigs.fa_antismash_contig00002.region002	4184
USHLN268_contigs.fa_antismash_contig00004.region001	4449
USHLN278_contigs.fa_antismash_contig00003.region001	4449
USHLN279_contigs.fa_antismash_contig00008.region001	4478
USHLN280_contigs.fa_antismash_contig00008.region001	4478
USMM236_contigs.fa_antismash_contig00006.region001	5003
VD34_contigs.fa_antismash_contig00001.region001	5148
VD34_contigs.fa_antismash_contig00047.region001	5172
