name_1	name_2	raw_distance	squared_similarity	jaccard_index	dss_index	adjacency_index	raw_dss_non_anchor	raw_dss_anchor	non_anchor_domains	anchor_domains	combined_group	shared_group	parent	class	order	family	genus	species
HN124	MMO-37	0.0335876047611237	0.933952927589416	0.949999988079071	0.968834578990936	0.857142865657806	0.0311654228717089	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USHLN162	USHLN165	0.162881255149841	0.700767815113068	0.884615361690521	0.836351633071899	0.850574731826782	0.152453541755676	0.238280445337296	80	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea dispersa
MMO-14	MMO-44	1.73472347597681e-17	1	1	1	1	0	0	30	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
SRR13132390.2	USMM097	0.0439634956419468	0.914005815982819	1	0.954676806926727	1	0.0453231930732727	0	10	0	NI-siderophore - NI-siderophore	NI-siderophore	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Elizabethkingia miricola
HN162	MMO-43	0.249216377735138	0.563676059246063	0.595744669437408	0.756407260894775	0.555555582046509	0.248176410794258	0.230987548828125	33	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
MMO-120	MMO-89	8.23429509182461e-05	0.999835312366486	1	0.99991512298584	1	0.00010526315600145	0	50	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-122	VD5	0.210724428296089	0.622955918312073	0.731707334518433	0.79359233379364	0.60869562625885	0.21474377810955	0.189214378595352	33	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-38	MMO-43	0.131256312131882	0.754715621471405	0.818181812763214	0.870307445526123	0.818181812763214	0.129692539572716	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN100	USMM064	0.131256312131882	0.754715621471405	0.818181812763214	0.870307445526123	0.818181812763214	0.129692539572716	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN007	USHLN177	0.0350664407014847	0.931096792221069	0.976190447807312	0.964552700519562	0.977777779102325	0.0320447012782097	0.0443791933357716	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-83	USMM062	0.0331224612891674	0.934852182865143	1	0.965853154659271	1	0.0316143371164799	0.0407947674393654	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN073	MMO-83	0.131256312131882	0.754715621471405	0.818181812763214	0.870307445526123	0.818181812763214	0.129692539572716	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-38	VD5	0.217748373746872	0.611917614936829	0.800000011920929	0.781702697277069	0.800000011920929	0.21829728782177	0	12	0	NI-siderophore - arylpolyene.NI-siderophore	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN122	MMO-163	0.154676243662834	0.714572250843048	0.34375	0.86148065328598	0.3125	0.170564100146294	0.0984633639454842	10	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter soli
MMO-110	MMO-38	0.00418103439733386	0.99165540933609	1	0.995689630508423	1	0	0.015625	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
AS124	HN125	0.13228502869606	0.752929270267487	0.818181812763214	0.869246959686279	0.818181812763214	0.130753070116043	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN020	HN071	0.136705875396729	0.745276749134064	0.34375	0.880006849765778	0.3125	0.182982787489891	0.0412561558187008	10	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
USHLN210	USHLN220	0.0059401923790574	0.988154888153076	1	0.993876099586487	1	0.00524838361889123	0.0126903550699353	30	1	betalactone - betalactone	betalactone	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Kocuria	Kocuria marina
HN166	MMO-89	0.278779655694962	0.520158767700195	0.5	0.728062212467194	0.5	0.271937817335129	0	7	0	NI-siderophore - arylpolyene.NI-siderophore	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia liquefaciens
HN091	HN173	0.28033310174942	0.51792049407959	0.56521737575531	0.726581394672394	0.461538463830948	0.360757231712341	0.196997284889221	14	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN049	HN110	1.73472347597681e-17	1	1	1	1	0	0	27	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN120	HN124	1.73472347597681e-17	1	1	1	1	0	0	43	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN124	USMM053	0.194542050361633	0.64876252412796	0.791666686534882	0.807362139225006	0.72000002861023	0.192637845873833	0	24	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN087	USMM055	2.795066939143e-05	0.999944090843201	1	0.999971210956574	1	3.45781481883023e-05	0	60	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
BGC0001498	HN176	0.288983970880508	0.505543768405914	0.777777791023254	0.708951234817505	0.777777791023254	0.291048765182495	0	9	0	NI-siderophore - siderophore	NA	NA	NA	NA	NA	NA	NA
MMO-83	MMO-88	1.73472347597681e-17	1	1	1	1	0	0	27	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
