clustername_1	name_1	clustername_2	name_2	file_ext	raw_distance	squared_similarity	jaccard_index	dss_index	adjacency_index	raw_dss_non_anchor	raw_dss_anchor	non_anchor_domains	anchor_domains	combined_group	shared_group	parent	class	order	family	genus	species
HN124_contigs.fa_antismash_contig00001.region002	HN124	MMO-37_contigs.fa_antismash_contig00008.region001	MMO-37	NA	0.0335876047611237	0.933952927589416	0.949999988079071	0.968834578990936	0.857142865657806	0.0311654228717089	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USHLN162_contigs.fa_antismash_contig00004.region001	USHLN162	USHLN165_contigs.fa_antismash_contig00002.region001	USHLN165	NA	0.161583244800568	0.702942669391632	0.932432413101196	0.836351633071899	0.891566276550293	0.152453541755676	0.238280445337296	80	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea dispersa
MMO-14_contigs.fa_antismash_contig00014.region001	MMO-14	MMO-44_contigs.fa_antismash_contig00014.region001	MMO-44	NA	1.73472347597681e-17	1	1	1	1	0	0	30	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
SRR13132390.2.fa_antismash_k141_307797.region001	SRR13132390.2	USMM097_contigs.fa_antismash_contig00004.region001	USMM097	NA	0.0439634956419468	0.914005815982819	1	0.954676806926727	1	0.0453231930732727	0	10	0	NI-siderophore - NI-siderophore	NI-siderophore	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Elizabethkingia miricola
HN162_contigs.fa_antismash_contig00001.region001	HN162	MMO-43_contigs.fa_antismash_contig00004.region001	MMO-43	NA	0.249216377735138	0.563676059246063	0.595744669437408	0.756407260894775	0.555555582046509	0.248176410794258	0.230987548828125	33	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
MMO-120_contigs.fa_antismash_contig00004.region001	MMO-120	MMO-89_contigs.fa_antismash_contig00004.region001	MMO-89	NA	8.23429509182461e-05	0.999835312366486	1	0.99991512298584	1	0.00010526315600145	0	50	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-122_contigs.fa_antismash_contig00011.region001	MMO-122	VD5_contigs.fa_antismash_contig00012.region001	VD5	NA	0.210724428296089	0.622955918312073	0.731707334518433	0.79359233379364	0.60869562625885	0.21474377810955	0.189214378595352	33	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-43_contigs.fa_antismash_contig00001.region001	MMO-43	USMM051_contigs.fa_antismash_contig00002.region001	USMM051	NA	0.101508848369122	0.807286322116852	0.949999988079071	0.898812651634216	0.857142865657806	0.101187326014042	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN049_contigs.fa_antismash_contig00001.region001	HN049	HN125_contigs.fa_antismash_contig00001.region001	HN125	NA	0.129809767007828	0.757231056690216	0.857142865657806	0.87233430147171	0.772727251052856	0.127665713429451	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-38_contigs.fa_antismash_contig00004.region001	MMO-38	MMO-43_contigs.fa_antismash_contig00011.region001	MMO-43	NA	0.128801763057709	0.758986353874207	0.899999976158142	0.870307445526123	0.899999976158142	0.129692539572716	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
