Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,HN020_contigs,USMM068_contigs
group_883,tuf,elongation factor Tu,2,2,1,7,1,,,,138,138,138,BKCABM_03975,GAHHJF_09190
mnmE,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,2,2,1,6,15,,,,1356,1356,1356,BKCABM_16875,GAHHJF_15470
group_882,,RND transporter,2,2,1,6,14,,,,1011,1011,1011,BKCABM_16935,GAHHJF_15420
recF,recF,DNA replication/repair protein RecF,2,2,1,6,13,,,,1083,1083,1083,BKCABM_16910,GAHHJF_15435
yidC,yidC,membrane protein insertase YidC,2,2,1,6,12,,,,1749,1764,1756.5,BKCABM_16880,GAHHJF_15465
dnaA,dnaA,chromosomal replication initiator protein DnaA,2,2,1,6,11,,,,1380,1395,1387.5,BKCABM_16900,GAHHJF_15445
rnpA,rnpA,ribonuclease P protein component,2,2,1,6,10,,,,390,393,391.5,BKCABM_16890,GAHHJF_15455
group_881,,ABC transporter domain-containing protein,2,2,1,6,9,,,,1935,1941,1938,BKCABM_16925,GAHHJF_15425
dnaN,dnaN,DNA polymerase III subunit beta,2,2,1,6,8,,,,1149,1149,1149,BKCABM_16905,GAHHJF_15440
yidD,yidD,membrane protein insertion efficiency factor YidD,2,2,1,6,7,,,,321,321,321,BKCABM_16885,GAHHJF_15460
erpA,erpA,iron-sulfur cluster insertion protein ErpA,2,2,1,6,5,,,,336,336,336,BKCABM_16945,GAHHJF_15410
group_879,,RND transporter;RND type efflux pump,2,2,1,6,4,,,,1008,1014,1011,BKCABM_16940,GAHHJF_15415
gyrB,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,2,2,1,6,2,,,,2469,2472,2470.5,BKCABM_16915,GAHHJF_15430
rpmH,rpmH,50S ribosomal protein L34,2,2,1,6,1,,,,135,135,135,BKCABM_16895,GAHHJF_15450
