#BGC Name	Family Number
AS209_contigs.fa_antismash_contig00012.region001	122
HN010_contigs.fa_antismash_contig00001.region001	3031
HN128_contigs.fa_antismash_contig00002.region001	3031
VD9_contigs.fa_antismash_contig00006.region001	3031
HN162_contigs.fa_antismash_contig00003.region001	3061
MMO-109_contigs.fa_antismash_contig00002.region002	3169
MMO-42_contigs.fa_antismash_contig00002.region002	3169
MMO-173_contigs.fa_antismash_contig00005.region001	3400
MMO-175_contigs.fa_antismash_contig00010.region001	3400
MMO-152_contigs.fa_antismash_contig00003.region005	3730
MMO-8_contigs.fa_antismash_contig00002.region003	3730
USHLN009_contigs.fa_antismash_contig00001.region002	3867
USHLN010_contigs.fa_antismash_contig00001.region001	3876
USHLN022_contigs.fa_antismash_contig00010.region002	3923
USHLN139_contigs.fa_antismash_contig00004.region001	3983
USHLN150_contigs.fa_antismash_contig00002.region001	4006
USMM241_contigs.fa_antismash_contig00001.region002	4006
USHLN157_contigs.fa_antismash_contig00010.region001	4116
USHLN16_contigs.fa_antismash_contig00001.region001	4116
USHLN193_contigs.fa_antismash_contig00007.region001	4227
USMM236_contigs.fa_antismash_contig00001.region001	4992
USMM241_contigs.fa_antismash_contig00001.region001	5006
VD34_contigs.fa_antismash_contig00012.region001	5159
