#BGC Name	Clan Number	Family Number
AS013_contigs.fa_antismash_contig00001.region001	3101	12
AS013_contigs.fa_antismash_contig00002.region001	3101	13
AS013_contigs.fa_antismash_contig00004.region001	3101	14
AS031_contigs.fa_antismash_contig00004.region001	3101	21
AS083_contigs.fa_antismash_contig00003.region002	3101	31
AS093_contigs.fa_antismash_contig00003.region002	3101	31
AS170_contigs.fa_antismash_contig00004.region002	3101	31
AS222_contigs.fa_antismash_contig00003.region002	3101	31
HN117_contigs.fa_antismash_contig00009.region001	3101	31
HN118_contigs.fa_antismash_contig00010.region001	3101	31
HN119_contigs.fa_antismash_contig00009.region001	3101	31
MMO-102_contigs.fa_antismash_contig00004.region002	3101	31
USHLN04_contigs.fa_antismash_contig00009.region001	3101	31
USMM084_contigs.fa_antismash_contig00004.region002	3101	31
USMM085_contigs.fa_antismash_contig00004.region001	3101	31
AS085_contigs.fa_antismash_contig00008.region002	3101	39
AS096_contigs.fa_antismash_contig00001.region002	3101	65
AS116_contigs.fa_antismash_contig00001.region002	3101	65
AS031_contigs.fa_antismash_contig00004.region002	3101	78
AS126_contigs.fa_antismash_contig00002.region002	3101	78
AS129_contigs.fa_antismash_contig00004.region001	3101	85
HN003_contigs.fa_antismash_contig00004.region001	3101	85
AS139_contigs.fa_antismash_contig00008.region002	3101	94
AS142_contigs.fa_antismash_contig00015.region002	3101	103
AS167_contigs.fa_antismash_contig00021.region001	3101	106
AS209_contigs.fa_antismash_contig00002.region001	3101	120
AS230_contigs.fa_antismash_contig00004.region001	3101	120
USHLN157_contigs.fa_antismash_contig00019.region001	3101	120
USHLN16_contigs.fa_antismash_contig00018.region001	3101	120
AS218_contigs.fa_antismash_contig00003.region001	3101	146
AS218_contigs.fa_antismash_contig00004.region001	3101	147
AS224_contigs.fa_antismash_contig00003.region002	3101	163
AS230_contigs.fa_antismash_contig00008.region001	3101	169
AS231_contigs.fa_antismash_contig00004.region001	3101	170
AS234_contigs.fa_antismash_contig00001.region001	3101	172
BGC0000888	3101	1287
BGC0001184	3101	1287
USHLN188_contigs.fa_antismash_contig00002.region001	3101	1287
USHLN190_contigs.fa_antismash_contig00001.region003	3101	1287
BGC0001572	3101	1634
USHLN010_contigs.fa_antismash_contig00005.region001	3101	1634
USHLN148_contigs.fa_antismash_contig00004.region002	3101	1634
USHLN298_contigs.fa_antismash_contig00005.region001	3101	1634
USMM080_contigs.fa_antismash_contig00004.region001	3101	1634
USMM081_contigs.fa_antismash_contig00004.region001	3101	1634
USMM101_contigs.fa_antismash_contig00004.region002	3101	1634
CR11_contigs.fa_antismash_contig00002.region002	3101	2674
CR41_contigs.fa_antismash_contig00004.region002	3101	2678
CR42_contigs.fa_antismash_contig00002.region001	3101	2678
MMO-31_contigs.fa_antismash_contig00009.region002	3101	2678
USHLN226_contigs.fa_antismash_contig00004.region002	3101	2678
ERR3376858.1.fa_antismash_k141_21836.region001	3101	2690
ERR3376862.6.fa_antismash_k141_4656.region001	3101	2690
BGC0002076	3101	2694
ERR3376858.1.fa_antismash_k141_63825.region001	3101	2694
ERR3376862.6.fa_antismash_k141_71717.region001	3101	2694
ERR3376858.1.fa_antismash_k141_58813.region001	3101	2716
ERR3376862.6.fa_antismash_k141_28063.region002	3101	2716
ERR3376864.4.fa_antismash_k141_4460.region001	3101	2716
USMM045_contigs.fa_antismash_contig00002.region001	3101	2716
USMM046_contigs.fa_antismash_contig00004.region001	3101	2716
USMM047_contigs.fa_antismash_contig00002.region001	3101	2716
USMM048_contigs.fa_antismash_contig00009.region001	3101	2716
ERR3376864.4.fa_antismash_k141_20141.region001	3101	2726
ERR3376864.4.fa_antismash_k141_20141.region002	3101	2727
ERR3376864.4.fa_antismash_k141_58045.region001	3101	2731
ERR4065CAT_bins.2.fa_antismash_k141_52021.region001	3101	2750
MMO-14_contigs.fa_antismash_contig00001.region001	3101	2750
MMO-36_contigs.fa_antismash_contig00001.region001	3101	2750
MMO-41_contigs.fa_antismash_contig00001.region001	3101	2750
MMO-44_contigs.fa_antismash_contig00001.region001	3101	2750
S242_contigs.fa_antismash_contig00007.region001	3101	2750
USHLN021_contigs.fa_antismash_contig00003.region001	3101	2750
