#BGC Name	Family Number
AA010_contigs.fa_antismash_contig00001.region001	0
AS083_contigs.fa_antismash_contig00001.region003	26
AS093_contigs.fa_antismash_contig00002.region003	26
AS170_contigs.fa_antismash_contig00002.region001	26
AS214_contigs.fa_antismash_contig00001.region003	26
AS222_contigs.fa_antismash_contig00001.region004	26
HN039_contigs.fa_antismash_contig00001.region003	26
AS083_contigs.fa_antismash_contig00002.region001	29
AS093_contigs.fa_antismash_contig00004.region001	29
AS214_contigs.fa_antismash_contig00003.region001	29
HN039_contigs.fa_antismash_contig00002.region001	29
AS083_contigs.fa_antismash_contig00003.region002	31
AS093_contigs.fa_antismash_contig00003.region002	31
AS170_contigs.fa_antismash_contig00004.region002	31
AS214_contigs.fa_antismash_contig00002.region002	31
AS222_contigs.fa_antismash_contig00003.region002	31
HN039_contigs.fa_antismash_contig00003.region002	31
MMO-102_contigs.fa_antismash_contig00004.region002	31
USHLN08_contigs.fa_antismash_contig00004.region002	31
USMM084_contigs.fa_antismash_contig00004.region002	31
USMM085_contigs.fa_antismash_contig00004.region001	31
AS170_contigs.fa_antismash_contig00001.region001	107
BGC0001415	107
AS218_contigs.fa_antismash_contig00002.region001	145
MMO-47_contigs.fa_antismash_contig00005.region002	145
AS222_contigs.fa_antismash_contig00002.region002	155
AS222_contigs.fa_antismash_contig00008.region001	160
AS231_contigs.fa_antismash_contig00004.region001	170
BGC0000377	528
MMO-108_contigs.fa_antismash_contig00005.region001	528
BGC0000371	2635
BGC0002696	2635
USMM241_contigs.fa_antismash_contig00006.region001	2635
CR41_contigs.fa_antismash_contig00004.region001	2677
CR42_contigs.fa_antismash_contig00002.region002	2677
MMO-31_contigs.fa_antismash_contig00009.region001	2677
USHLN226_contigs.fa_antismash_contig00004.region001	2677
ERR3376858.1.fa_antismash_k141_20695.region001	2688
ERR3376858.1.fa_antismash_k141_21836.region001	2690
ERR3376862.6.fa_antismash_k141_4656.region001	2690
ERR3376858.1.fa_antismash_k141_32105.region001	2691
ERR3376862.6.fa_antismash_k141_28063.region001	2691
ERR3376859.5.fa_antismash_k141_56367.region001	2705
BGC0000413	2718
ERR3376858.1.fa_antismash_k141_64645.region002	2718
ERR3376862.6.fa_antismash_k141_33512.region001	2718
ERR3376864.4.fa_antismash_k141_67147.region001	2718
ERR3376864.4.fa_antismash_k141_17035.region002	2725
ERR3376864.4.fa_antismash_k141_58045.region001	2731
ERR3376864.4.fa_antismash_k141_67147.region003	2736
ERR4065CAT_bins.1.fa_antismash_k141_9416.region001	2745
MMO-17_contigs.fa_antismash_contig00002.region001	2745
USHLN009_contigs.fa_antismash_contig00006.region002	2745
USHLN259_contigs.fa_antismash_contig00001.region002	2745
USHLN267_contigs.fa_antismash_contig00002.region001	2745
ERR4065CAT_bins.2.fa_antismash_k141_28127.region001	2747
BGC0001502	2750
ERR4065CAT_bins.2.fa_antismash_k141_52021.region001	2750
MMO-14_contigs.fa_antismash_contig00001.region001	2750
MMO-36_contigs.fa_antismash_contig00001.region001	2750
MMO-41_contigs.fa_antismash_contig00001.region001	2750
MMO-44_contigs.fa_antismash_contig00001.region001	2750
S242_contigs.fa_antismash_contig00007.region001	2750
USHLN021_contigs.fa_antismash_contig00003.region001	2750
ERR4065CAT_bins.3.fa_antismash_k141_10135.region001	2752
ERR4065CAT_bins.3.fa_antismash_k141_12173.region001	2753
ERR4065CAT_bins.3.fa_antismash_k141_15861.region001	2754
ERR4065CAT_bins.3.fa_antismash_k141_16072.region001	2755
ERR4065CAT_bins.3.fa_antismash_k141_23242.region001	2757
ERR4065CAT_bins.3.fa_antismash_k141_25889.region001	2759
ERR4065CAT_bins.3.fa_antismash_k141_32465.region001	2761
ERR4065CAT_bins.3.fa_antismash_k141_3923.region001	2763
BGC0002379	2764
ERR4065CAT_bins.3.fa_antismash_k141_39768.region001	2764
ERR4065CAT_bins.3.fa_antismash_k141_43757.region001	2765
ERR4065CAT_bins.3.fa_antismash_k141_45833.region001	2767
ERR4065CAT_bins.3.fa_antismash_k141_48950.region001	2769
ERR4065CAT_bins.3.fa_antismash_k141_6721.region001	2773
GV18_marked.12.fa_antismash_k141_155515.region001	2775
MMO-56_contigs.fa_antismash_contig00007.region001	2775
MMO-70_contigs.fa_antismash_contig00005.region001	2775
MMO-79_contigs.fa_antismash_contig00005.region001	2775
AS142_contigs.fa_antismash_contig00015.region001	2788
HN003_contigs.fa_antismash_contig00014.region001	2788
AS085_contigs.fa_antismash_contig00008.region001	2814
AS129_contigs.fa_antismash_contig00004.region002	2814
AS139_contigs.fa_antismash_contig00008.region001	2814
AS142_contigs.fa_antismash_contig00004.region001	2814
HN003_contigs.fa_antismash_contig00004.region002	2814
HN022_contigs.fa_antismash_contig00002.region002	2814
USHLN148_contigs.fa_antismash_contig00003.region001	2814
USHLN165_contigs.fa_antismash_contig00002.region001	2814
USHLN298_contigs.fa_antismash_contig00004.region001	2814
USMM080_contigs.fa_antismash_contig00002.region001	2814
USMM081_contigs.fa_antismash_contig00002.region001	2814
USMM101_contigs.fa_antismash_contig00003.region001	2814
AA010_contigs.fa_antismash_contig00007.region001	2845
ERR3376859.5.fa_antismash_k141_66325.region001	2845
HN034_contigs.fa_antismash_contig00007.region001	2845
HN041_contigs.fa_antismash_contig00006.region001	2845
HN059_contigs.fa_antismash_contig00008.region001	2845
M51_contigs.fa_antismash_contig00010.region001	2845
MMO-128_contigs.fa_antismash_contig00007.region001	2845
MMO-143_contigs.fa_antismash_contig00007.region001	2845
VD14_contigs.fa_antismash_contig00010.region001	2845
HN068_contigs.fa_antismash_contig00004.region001	2878
HN123_contigs.fa_antismash_contig00006.region001	2878
HN126_contigs.fa_antismash_contig00005.region001	2878
HN127_contigs.fa_antismash_contig00004.region001	2878
HN079_contigs.fa_antismash_contig00004.region001	2901
MMO-151_contigs.fa_antismash_contig00010.region001	2901
MMO-24_contigs.fa_antismash_contig00010.region001	2901
MMO-28_contigs.fa_antismash_contig00003.region001	2901
AS091_contigs.fa_antismash_contig00002.region002	2939
AS124_contigs.fa_antismash_contig00004.region001	2939
AS183_contigs.fa_antismash_contig00001.region001	2939
HN007_contigs.fa_antismash_contig00004.region001	2939
HN028_contigs.fa_antismash_contig00001.region002	2939
HN049_contigs.fa_antismash_contig00004.region001	2939
HN065_contigs.fa_antismash_contig00004.region001	2939
HN100_contigs.fa_antismash_contig00004.region001	2939
HN109_contigs.fa_antismash_contig00004.region001	2939
HN110_contigs.fa_antismash_contig00004.region001	2939
HN176_contigs.fa_antismash_contig00004.region001	2939
M50_contigs.fa_antismash_contig00103.region001	2939
MMO-120_contigs.fa_antismash_contig00004.region001	2939
MMO-126_contigs.fa_antismash_contig00004.region001	2939
MMO-43_contigs.fa_antismash_contig00004.region001	2939
MMO-45_contigs.fa_antismash_contig00004.region001	2939
MMO-83_contigs.fa_antismash_contig00004.region001	2939
MMO-84_contigs.fa_antismash_contig00004.region001	2939
MMO-88_contigs.fa_antismash_contig00004.region001	2939
MMO-89_contigs.fa_antismash_contig00004.region001	2939
MMO-90_contigs.fa_antismash_contig00004.region001	2939
MMO-94_contigs.fa_antismash_contig00004.region001	2939
USHLN177_contigs.fa_antismash_contig00002.region002	2939
USHLN179_contigs.fa_antismash_contig00002.region001	2939
USHLN184_contigs.fa_antismash_contig00001.region003	2939
USHLN271_contigs.fa_antismash_contig00007.region001	2939
USHLN296_contigs.fa_antismash_contig00009.region001	2939
VD12_contigs.fa_antismash_contig00077.region001	2939
VD5_contigs.fa_antismash_contig00003.region001	2939
AS170_contigs.fa_antismash_contig00003.region001	2975
AS222_contigs.fa_antismash_contig00004.region001	2975
HN117_contigs.fa_antismash_contig00008.region001	2975
HN118_contigs.fa_antismash_contig00009.region001	2975
HN119_contigs.fa_antismash_contig00003.region001	2975
MMO-102_contigs.fa_antismash_contig00005.region002	2975
USHLN08_contigs.fa_antismash_contig00005.region001	2975
USMM084_contigs.fa_antismash_contig00006.region001	2975
USMM085_contigs.fa_antismash_contig00006.region001	2975
HN121_contigs.fa_antismash_contig00005.region001	3008
HN122_contigs.fa_antismash_contig00006.region001	3008
USMM066_contigs.fa_antismash_contig00003.region001	3008
USMM068_contigs.fa_antismash_contig00003.region001	3008
HN128_contigs.fa_antismash_contig00002.region002	3032
HN128_contigs.fa_antismash_contig00028.region001	3035
HN047_contigs.fa_antismash_contig00009.region001	3040
HN132_contigs.fa_antismash_contig00008.region001	3040
HN151_contigs.fa_antismash_contig00002.region001	3053
HN157_contigs.fa_antismash_contig00003.region001	3053
HN173_contigs.fa_antismash_contig00002.region001	3053
HN162_contigs.fa_antismash_contig00003.region001	3061
HN166_contigs.fa_antismash_contig00001.region002	3064
HN166_contigs.fa_antismash_contig00002.region001	3066
HN151_contigs.fa_antismash_contig00004.region001	3069
HN157_contigs.fa_antismash_contig00005.region001	3069
HN166_contigs.fa_antismash_contig00014.region001	3069
