BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
AA010_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=1479942 cov=38.6 corr=0 origname=NODE_1_length_1479942_cov_38.568649_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor.NRP-metallophore.NRPS	Others		
AA010_contigs.fa_antismash_contig00009.region001	contig00009	contig00009 len=98010 cov=39.9 corr=0 origname=NODE_9_length_98010_cov_39.874646_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS011_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=2641988 cov=38.2 corr=0 origname=NODE_1_length_2641988_cov_38.233261_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS013_contigs.fa_antismash_contig00010.region001	contig00010	contig00010 len=159640 cov=38.2 corr=0 origname=NODE_10_length_159640_cov_38.162353_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS031_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1650167 cov=36.6 corr=0 origname=NODE_1_length_1650167_cov_36.642090_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor	RiPPs		
AS031_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=1650167 cov=36.6 corr=0 origname=NODE_1_length_1650167_cov_36.642090_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS031_contigs.fa_antismash_contig00004.region001	contig00004	contig00004 len=434034 cov=35.4 corr=0 origname=NODE_4_length_434034_cov_35.387278_pilon sw=shovill-spades/1.1.0 date=20220624	acyl_amino_acids.RiPP-like	Others		
AS083_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=2506594 cov=33.2 corr=0 origname=NODE_1_length_2506594_cov_33.173096_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor	RiPPs		
AS083_contigs.fa_antismash_contig00001.region004	contig00001	contig00001 len=2506594 cov=33.2 corr=0 origname=NODE_1_length_2506594_cov_33.173096_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS085_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1268095 cov=36.3 corr=0 origname=NODE_1_length_1268095_cov_36.264427_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor	RiPPs		
AS085_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=1268095 cov=36.3 corr=0 origname=NODE_1_length_1268095_cov_36.264427_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS091_contigs.fa_antismash_contig00002.region001	contig00002	contig00002 len=1033468 cov=38.9 corr=0 origname=NODE_2_length_1033468_cov_38.876347_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS091_contigs.fa_antismash_contig00007.region001	contig00007	contig00007 len=271462 cov=35.7 corr=0 origname=NODE_7_length_271462_cov_35.675763_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor	RiPPs		
AS093_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1375489 cov=39.3 corr=0 origname=NODE_1_length_1375489_cov_39.265291_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS093_contigs.fa_antismash_contig00002.region002	contig00002	contig00002 len=1150931 cov=38.0 corr=0 origname=NODE_2_length_1150931_cov_37.961287_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor	RiPPs		
AS096_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=674056 cov=40.5 corr=0 origname=NODE_1_length_674056_cov_40.538409_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS096_contigs.fa_antismash_contig00004.region001	contig00004	contig00004 len=226679 cov=43.3 corr=0 origname=NODE_4_length_226679_cov_43.321171_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS113_contigs.fa_antismash_contig00003.region001	contig00003	contig00003 len=394035 cov=41.7 corr=0 origname=NODE_3_length_394035_cov_41.697916_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS113_contigs.fa_antismash_contig00011.region001	contig00011	contig00011 len=158270 cov=39.6 corr=0 origname=NODE_11_length_158270_cov_39.566139_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS116_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=653824 cov=39.5 corr=0 origname=NODE_1_length_653824_cov_39.489628_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS116_contigs.fa_antismash_contig00006.region001	contig00006	contig00006 len=221110 cov=40.5 corr=0 origname=NODE_6_length_221110_cov_40.476215_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS124_contigs.fa_antismash_contig00008.region001	contig00008	contig00008 len=255858 cov=35.9 corr=0 origname=NODE_8_length_255858_cov_35.949039_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS126_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1774414 cov=36.7 corr=0 origname=NODE_1_length_1774414_cov_36.714546_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor	RiPPs		
AS126_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=1774414 cov=36.7 corr=0 origname=NODE_1_length_1774414_cov_36.714546_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS126_contigs.fa_antismash_contig00002.region003	contig00002	contig00002 len=407278 cov=35.6 corr=0 origname=NODE_2_length_407278_cov_35.570311_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS129_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=2129047 cov=36.9 corr=0 origname=NODE_1_length_2129047_cov_36.917381_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor	RiPPs		
AS129_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=2129047 cov=36.9 corr=0 origname=NODE_1_length_2129047_cov_36.917381_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS139_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1049147 cov=36.9 corr=0 origname=NODE_1_length_1049147_cov_36.861751_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor	RiPPs		
AS139_contigs.fa_antismash_contig00005.region001	contig00005	contig00005 len=403390 cov=38.8 corr=0 origname=NODE_5_length_403390_cov_38.784601_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS142_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1009145 cov=38.2 corr=0 origname=NODE_1_length_1009145_cov_38.210184_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS142_contigs.fa_antismash_contig00010.region001	contig00010	contig00010 len=238178 cov=33.8 corr=0 origname=NODE_10_length_238178_cov_33.769393_pilon sw=shovill-spades/1.1.0 date=20220624	redox-cofactor	RiPPs		
AS167_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=699781 cov=35.4 corr=0 origname=NODE_1_length_699781_cov_35.439210_pilon sw=shovill-spades/1.1.0 date=20220624	RiPP-like	RiPPs		
AS170_contigs.fa_antismash_contig00002.region002	contig00002	contig00002 len=766119 cov=39.2 corr=0 origname=NODE_2_length_766119_cov_39.172635_pilon sw=shovill-spades/1.1.0 date=20220624	RRE-containing	RiPPs		
AS170_contigs.fa_antismash_contig00008.region001	contig00008	contig00008 len=302099 cov=39.8 corr=0 origname=NODE_8_length_302099_cov_39.781329_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS183_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=2532842 cov=36.0 corr=0 origname=NODE_1_length_2532842_cov_35.981421_pilon sw=shovill-spades/1.1.0 date=20220624	thiopeptide	RiPPs		
AS209_contigs.fa_antismash_contig00004.region001	contig00004	contig00004 len=264565 cov=26.6 corr=0 origname=NODE_4_length_264565_cov_26.637143_pilon sw=shovill-spades/1.1.0 date=20220828	thiopeptide	RiPPs		
AS209_contigs.fa_antismash_contig00021.region001	contig00021	contig00021 len=98090 cov=37.3 corr=0 origname=NODE_21_length_98090_cov_37.250911_pilon sw=shovill-spades/1.1.0 date=20220828	RiPP-like	RiPPs		
AS212_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=1542639 cov=36.7 corr=0 origname=NODE_1_length_1542639_cov_36.719335_pilon sw=shovill-spades/1.1.0 date=20220828	thiopeptide	RiPPs		
AS212_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=1542639 cov=36.7 corr=0 origname=NODE_1_length_1542639_cov_36.719335_pilon sw=shovill-spades/1.1.0 date=20220828	redox-cofactor	RiPPs		
AS214_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=2777308 cov=29.2 corr=0 origname=NODE_1_length_2777308_cov_29.182677_pilon sw=shovill-spades/1.1.0 date=20220828	thiopeptide	RiPPs		
AS214_contigs.fa_antismash_contig00001.region004	contig00001	contig00001 len=2777308 cov=29.2 corr=0 origname=NODE_1_length_2777308_cov_29.182677_pilon sw=shovill-spades/1.1.0 date=20220828	RRE-containing	RiPPs		
AS216_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=1120944 cov=41.3 corr=0 origname=NODE_1_length_1120944_cov_41.280701_pilon sw=shovill-spades/1.1.0 date=20220828	thiopeptide	RiPPs		
AS216_contigs.fa_antismash_contig00002.region001	contig00002	contig00002 len=795171 cov=49.9 corr=0 origname=NODE_2_length_795171_cov_49.929745_pilon sw=shovill-spades/1.1.0 date=20220828	redox-cofactor	RiPPs		
AS216_contigs.fa_antismash_contig00008.region001	contig00008	contig00008 len=113998 cov=54.1 corr=0 origname=NODE_8_length_113998_cov_54.143177_pilon sw=shovill-spades/1.1.0 date=20220828	RiPP-like	RiPPs		
AS218_contigs.fa_antismash_contig00003.region001	contig00003	contig00003 len=327557 cov=47.7 corr=0 origname=NODE_3_length_327557_cov_47.659987_pilon sw=shovill-spades/1.1.0 date=20220828	RiPP-like.T3PKS	Others		
AS218_contigs.fa_antismash_contig00007.region001	contig00007	contig00007 len=99322 cov=39.5 corr=0 origname=NODE_7_length_99322_cov_39.516475_pilon sw=shovill-spades/1.1.0 date=20220828	cyclic-lactone-autoinducer	RiPPs		
AS222_contigs.fa_antismash_contig00001.region003	contig00001	contig00001 len=1712926 cov=32.5 corr=0 origname=NODE_1_length_1712926_cov_32.522438_pilon sw=shovill-spades/1.1.0 date=20220828	RRE-containing	RiPPs		
AS222_contigs.fa_antismash_contig00002.region001	contig00002	contig00002 len=1225085 cov=34.2 corr=0 origname=NODE_2_length_1225085_cov_34.192234_pilon sw=shovill-spades/1.1.0 date=20220828	thiopeptide	RiPPs		
AS224_contigs.fa_antismash_contig00002.region001	contig00002	contig00002 len=574332 cov=49.0 corr=0 origname=NODE_2_length_574332_cov_49.027211_pilon sw=shovill-spades/1.1.0 date=20220828	RiPP-like	RiPPs		
AS224_contigs.fa_antismash_contig00005.region001	contig00005	contig00005 len=143161 cov=39.6 corr=0 origname=NODE_5_length_143161_cov_39.611688_pilon sw=shovill-spades/1.1.0 date=20220828	cyclic-lactone-autoinducer	RiPPs		
AS230_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=1193496 cov=31.9 corr=0 origname=NODE_1_length_1193496_cov_31.924810_pilon sw=shovill-spades/1.1.0 date=20220828	redox-cofactor	RiPPs		
AS230_contigs.fa_antismash_contig00003.region002	contig00003	contig00003 len=712980 cov=35.8 corr=0 origname=NODE_3_length_712980_cov_35.849850_pilon sw=shovill-spades/1.1.0 date=20220828	thiopeptide	RiPPs		
AS231_contigs.fa_antismash_contig00005.region001	contig00005	contig00005 len=221992 cov=34.0 corr=0 origname=NODE_5_length_221992_cov_33.970849_pilon sw=shovill-spades/1.1.0 date=20220828	thiopeptide	RiPPs		
AS234_contigs.fa_antismash_contig00001.region002	contig00001	contig00001 len=1304351 cov=36.1 corr=0 origname=NODE_1_length_1304351_cov_36.060839_pilon sw=shovill-spades/1.1.0 date=20220828	RiPP-like	RiPPs		
AS234_contigs.fa_antismash_contig00004.region001	contig00004	contig00004 len=247386 cov=35.1 corr=0 origname=NODE_4_length_247386_cov_35.149259_pilon sw=shovill-spades/1.1.0 date=20220828	thiopeptide	RiPPs		
AS235_contigs.fa_antismash_contig00001.region001	contig00001	contig00001 len=393031 cov=40.2 corr=0 origname=NODE_1_length_393031_cov_40.218004_pilon sw=shovill-spades/1.1.0 date=20220828	thiopeptide	RiPPs		
BGC0000142	BGC0000142	Salinispora tropica CNB-440, complete genome	T1PKS.RRE-containing	Others	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000175	BGC0000175	Streptomyces sp. YIM 56141 hypothetical protein genes, complete cds; cycloheximide biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	transAT-PKS.lanthipeptide-class-iv.NRPS-like	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000227	BGC0000227	Streptomyces violaceoruber Tu22 granaticin biosynthetic gene cluster	RRE-containing.T2PKS	Others	Streptomyces violaceoruber	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces anthocyanicus group
BGC0000413	BGC0000413	Pseudomonas protegens Pf-5, complete genome	NRPS.ranthipeptide	Others	Pseudomonas protegens Pf-5	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000468	BGC0000468	Streptomyces bottropensis bottromycin biosynthesis gene cluster, complete sequence, strain DSM40262	RiPP-like.bottromycin	RiPPs	Streptomyces bottropensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000469	BGC0000469	Streptomyces sp. BC16019 hypothetical protein genes, complete cds; bottromycin biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	RiPP-like.bottromycin	RiPPs	Streptomyces sp. BC16019	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000470	BGC0000470	Streptomyces sp. WMMB 272 bottromycin D gene cluster, partial sequence	RiPP-like.bottromycin	RiPPs	Streptomyces sp. WMMB 272	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000471	BGC0000471	Oscillatoria nigro-viridis PCC 7112 chromosome, complete genome	cyanobactin	RiPPs	Oscillatoria nigro-viridis PCC 7112	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Oscillatoria
BGC0000472	BGC0000472	Anabaena sp. 90 signal recognition particle protein SRP gene, complete cds; anacyclamide biosynthetic gene cluster, complete sequence; 30S ribosomal protein S16, and hypothetical protein genes, complete cds	cyanobactin	RiPPs	Anabaena sp. 90	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena,unclassified Anabaena
BGC0000473	BGC0000473	Microcystis aeruginosa NIES-298 microcyclamide biosynthetic gene cluster, strain NIES-298	cyanobactin	RiPPs	Microcystis aeruginosa NIES-298	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
