BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000002	BGC0000002	Kutzneria albida DSM 43870, complete genome	oligosaccharide.T1PKS	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria
BGC0000026	BGC0000026	Streptomyces viridochromogenes Tue57 Avilamycin A biosynthetic gene cluster, complete sequence	oligosaccharide.T1PKS.PKS-like	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000033	BGC0000033	Micromonospora echinospora calicheamicin biosynthetic locus, complete sequence	oligosaccharide.T1PKS.PKS-like	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000078	BGC0000078	Streptomyces sp. ML694-90F3 DNA, incednine biosynthetic gene cluster	oligosaccharide.T1PKS	Others	Streptomyces sp. ML694-90F3	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000082	BGC0000082	Actinomadura kijaniata fructokinase gene, partial cds; kijanimicin gene cluster, complete sequence; and D-ala, D-ala carboxypeptidase, conserved hypothetical protein, permease, and selenium binding protein genes, complete cds	oligosaccharide.T1PKS	Others	Actinomadura kijaniata	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000199	BGC0000199	Uncultured bacterium clone AZ129 arimetamycin gene cluster, complete sequence	oligosaccharide.T2PKS	Others	uncultured bacterium	Bacteria,environmental samples
BGC0000210	BGC0000210	Streptomyces griseus subsp. griseus chromomycin A3 biosynthesis gene cluster, strain ATCC13273	oligosaccharide.T2PKS	Others	Streptomyces griseus subsp. griseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000229	BGC0000229	Streptomyces lusitanus strain SCSIO LR32 grincamycin gene cluster, partial sequence	oligosaccharide.T2PKS	Others	Streptomyces lusitanus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000239	BGC0000239	Streptomyces cyanogenus landomycin biosynthetic gene cluster, complete sequence	oligosaccharide.T2PKS	Others	Streptomyces cyanogenus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000247	BGC0000247	Streptomyces argillaceus mithramycin biosynthetic gene cluster	oligosaccharide.T2PKS	Others	Streptomyces argillaceus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
