plateID	sampleID	condition	lifestage	dilution	volume_dispensed_ml	volume_homogenate_ul	colonies	diet	picture_file	concentration	date	colonies_sequenced	validated?	a.soli_bands	a.johnsonii_bands	filename_gel	percentage_a_soli	percentage_a_johnsonii	conclusive?	sample_dilution_factor	individual_tube_dilution_factor	total_series_dilution_factor	plating_dilution_factor	final_dilution_factor	cfu_ml	a_soli_cfu	a_johnsonii_cfu
NA	NA	co	L4	3	0.1	400	12	tetramin 10%	NA	10^7	NA	4	Y	6	11	NA	35.29411765	64.70588235	NA	1	0.1	0.001	0.1	1e-04	120000	42352.94118	77647.05882
20.5	M_20_1_L	mono	L4	1	0.1	400	21	tetramin 10%	NA	10^7	180424	4	Y	NA	NA	NA	NA	NA	1	1	0.1	0.1	0.1	0.01	2100	NA	2100
NA	M_68_1_L	mono	L4	1	0.1	400	8	tetramin 10%	NA	10^7	180424	4	Y	NA	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	800	800	NA
20.1	M_20_2_L	mono	L4	1	0.1	400	24	tetramin 10%	Y	10^7	200424	4	Y	NA	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	2400	NA	2400
20.2	M_20_3_L	mono	L4	3	0.1	400	17	tetramin 10%	Y	10^7	200424	4	Y	NA	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	170000	NA	170000
20.3	M_20_4_L	mono	L4	2	0.1	400	120	tetramin 10%	Y	10^7	200424	4	Y	NA	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	120000	NA	120000
20.4	M_20_5_L	mono	L4	2	0.1	400	58	tetramin 10%	Y	10^7	200424	4	Y	NA	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	58000	NA	58000
68.1	M_68_2_L	mono	L4	2	0.1	400	166	tetramin 10%	Y	10^7	200424	4	Y	NA	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	166000	166000	NA
68.2	M_68_3_L	mono	L4	2	0.1	400	16	tetramin 10%	Y	10^7	200424	4	Y	NA	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	16000	1600	NA
68.3	M_68_4_L	mono	L4	3	0.1	400	14	tetramin 10%	Y	10^7	200424	4	Y	NA	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	140000	140000	NA
