BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000002	BGC0000002	Kutzneria albida DSM 43870, complete genome	T1PKS.oligosaccharide	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria
BGC0000010	BGC0000010	Aspergillus flavus isolate AF36 aflatoxin biosynthesis gene cluster, complete sequence		Others	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000016	BGC0000016	Streptomyces nodosus amphotericin biosynthetic gene cluster, partial sequence		Others	Streptomyces nodosus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000019	BGC0000019	Streptomyces eurythermus angolamycin biosynthesis gene cluster, complete sequence		Others	Streptomyces eurythermus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000025	BGC0000025	Streptomyces avermitilis avermectin biosynthetic gene cluster (orf1, aveBI, aveBII, aveBIII, aveBIV, aveBV, aveBVI, aveBVII, aveBVIII), complete cds		Others	Streptomyces avermitilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000026	BGC0000026	Streptomyces viridochromogenes Tue57 Avilamycin A biosynthetic gene cluster, complete sequence	T1PKS.oligosaccharide.PKS-like	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000033	BGC0000033	Micromonospora echinospora calicheamicin biosynthetic locus, complete sequence	T1PKS.oligosaccharide.PKS-like	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000038	BGC0000038	Streptomyces coelicolor A3(2) complete genome	butyrolactone.T1PKS	Others	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000078	BGC0000078	Streptomyces sp. ML694-90F3 DNA, incednine biosynthetic gene cluster	T1PKS.oligosaccharide	Others	Streptomyces sp. ML694-90F3	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000081	BGC0000081	Streptoalloteichus sp. ATCC 53650 kedarcidin biosynthetic gene cluster, complete sequence	NRPS.T1PKS.NRPS-like.arylpolyene	Others	Streptoalloteichus sp. ATCC 53650	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus,unclassified Streptoalloteichus
BGC0000082	BGC0000082	Actinomadura kijaniata fructokinase gene, partial cds; kijanimicin gene cluster, complete sequence; and D-ala, D-ala carboxypeptidase, conserved hypothetical protein, permease, and selenium binding protein genes, complete cds	T1PKS.oligosaccharide	Others	Actinomadura kijaniata	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000112	BGC0000112	Streptomyces carzinostaticus subsp. neocarzinostaticus neocarzinostatin biosynthetic locus, complete sequence	butyrolactone.T1PKS	Others	Streptomyces carzinostaticus subsp. neocarzinostaticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000118	BGC0000118	Streptomyces pactum pactamycin biosynthetic gene cluster, partial and complete cds, strain: NBRC 13433	T1PKS.arylpolyene.PKS-like	Others	Streptomyces pactum	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000119	BGC0000119	Streptomyces pactum strain ATCC 27456 pactamycin biosynthetic gene cluster, partial sequence	T1PKS.arylpolyene.PKS-like	Others	Streptomyces pactum	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000131	BGC0000131	Streptomyces sp. UC 11065 pyrrolomycin biosynthetic gene cluster, partial sequence		Others	Streptomyces sp. UC 11065	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
